epsilon_frac,total_cost_cny,total_carbon_tco2,sys_peak_net_mw,sum_region_peak_mw,sys_net_mad_mw,sys_net_std_mw,total_renewable_util_pct,total_curtail_mwh,total_charge_mwh,total_discharge_mwh,total_purchase_mwh,total_export_mwh,sys_net_tv_mw,total_cost_cny_reduction,total_carbon_tco2_reduction,sys_peak_net_mw_reduction,sys_net_mad_mw_reduction,grey_grade,grey_rank,grey_grade_w,grey_rank_w,topsis_score,topsis_rank
1.0,-459217791.0393696,0.0,-413.52420041662526,-413.52420041662526,0.5125324859117593,4.982502334163031,69.51476484459668,3521278.896801922,185194.8330202547,161890.53302630666,0.0,1491718.259354173,973.0376912241211,1.254885914041867,1.0,1.2167728549047403,0.9989909132291813,0.8272687770738516,7,0.8951483549924145,1,0.28256435862471974,11
0.75,-457030472.54121125,0.0,-423.7381552654315,-423.7381552654315,0.3856643350420217,4.458616559561914,69.44631153667655,3529185.779834534,182542.78820244805,159572.11544658008,0.0,1484145.003559641,878.0890356024548,1.2536718568219976,1.0,1.2221270957211496,0.9992406944161302,0.825314575880802,9,0.888462042259068,2,0.28718644317725617,10
0.5,-453707791.92398995,0.0,-437.5273307404044,-437.5273307404044,0.25710955669467817,3.861771755133641,69.34634867687416,3540732.258216339,178703.652597901,156215.94310108505,0.0,1473081.4884368877,551.9406312603974,1.2518276240794621,1.0,1.2293554971822511,0.9994937962774202,0.8223402446936706,10,0.8787744775584102,6,0.303691790383496,9
0.3,-448877857.68736583,0.0,-457.67047402422253,-457.67047402422253,0.15426573401680743,3.1848109999202974,69.20034444529088,3557596.868802322,173114.65982154038,151330.0456159906,0.0,1456919.9731421713,325.3009533586696,1.2491467998024288,1.0,1.2399147018720595,0.9996962777664521,0.8200602397148968,11,0.8668886320464138,8,0.35747926925455276,8
0.15,-439009257.83657825,0.0,-498.75899602069603,-498.75899602069603,0.07713286700851742,2.1139992145407023,68.90258213054871,3591990.704041565,161770.10955069662,141412.63976921898,0.0,1423953.2823270005,149.6526025139941,1.2436692962249034,1.0,1.26145364979341,0.9998481388832258,0.826575138646459,8,0.85245568920747,11,0.5373379572825803,7
0.07,-430059123.1168089,0.0,-535.8907581985416,-535.8907581985416,0.03599533793736861,1.0841658482805967,68.63383625413014,3623032.9177037245,151832.4057234422,132725.0990834332,0.0,1394161.2318063094,91.97765676491758,1.2387015808764126,1.0,1.2809184310246557,0.9999291314788386,0.8544002943375537,6,0.8555388002434963,10,0.6795619188856447,6
0.03,-425584055.58436406,0.0,-554.4566392874642,-554.4566392874642,0.015426573401794234,0.46499928873907453,68.49959583887436,3638538.717115423,146985.234409033,128487.70192037664,0.0,1379265.2065459639,39.74483390456544,1.2362177231063889,1.0,1.2906508216402786,0.999969627776645,0.8829472685827244,5,0.8667232373023227,9,0.7115468627077248,5
0.01,-423346521.8181416,0.0,-563.7395798319258,-563.7395798319258,0.005142191134007045,0.1549997629130228,68.43251980440728,3646286.5144817876,144602.20788922676,126404.46013676203,0.0,1371817.1939157909,13.248277968188404,1.2349757942213768,1.0,1.29551701694809,0.9999898759255482,0.9035239625814351,4,0.8762819708991687,7,0.7168868290987374,4
0.001,-422339631.6233415,0.0,-567.9169030769333,-567.9169030769333,0.0005142191135028809,0.01549997629130287,68.40234972633674,3649771.390313748,143542.8267415131,125478.34913743075,0.0,1368465.5882322132,1.3248277968190223,1.2344169262231217,1.0,1.2977068048366052,0.9999989875925547,0.9146939305836557,3,0.8817670061701764,5,0.7174355558955117,3
0.0,-422227754.9350253,0.0,-568.381050084372,-568.381050084372,1.6670259504151846e-11,5.626068063952547e-10,68.39899765583914,3650158.5802121907,143425.26500118326,125375.5766640344,0.0,1368093.187600704,7.806329449522309e-08,1.2343548297788682,1.0,1.2979501145916246,0.9999999999999672,0.9160210229339099,2,0.8824294321586984,4,0.717435641349387,2
0.0,-422227754.93503034,0.0,-568.3810501041563,,1.1387576474732706e-13,1.1399355798231432e-13,68.3989740750105,3650161.3039790858,143416.9282214104,125369.96365115698,0.0,1368093.1876007044,7.958078640513122e-13,1.2343548297788711,1.0,1.2979501146019958,0.9999999999999998,0.9160210229979985,1,0.8824294321971979,3,0.7174356413753096,1
