method,epsilon_frac,total_cost_cny,sys_peak_net_mw,sys_net_tv_mw,sys_net_mad_mw,total_renewable_util_pct
本文精确Pareto,1.0,-459217791.0393696,-413.52420041662526,973.0376912241211,0.5125324859117593,69.51476484459668
本文精确Pareto,0.75,-457030472.54121125,-423.7381552654315,878.0890356024548,0.3856643350420217,69.44631153667655
本文精确Pareto,0.5,-453707791.92398995,-437.5273307404044,551.9406312603974,0.25710955669467817,69.34634867687416
本文精确Pareto,0.3,-448877857.68736583,-457.67047402422253,325.3009533586696,0.15426573401680743,69.20034444529088
本文精确Pareto,0.15,-439009257.83657825,-498.75899602069603,149.6526025139941,0.07713286700851742,68.90258213054871
本文精确Pareto,0.07,-430059123.1168089,-535.8907581985416,91.97765676491758,0.03599533793736861,68.63383625413014
本文精确Pareto,0.03,-425584055.58436406,-554.4566392874642,39.74483390456544,0.015426573401794234,68.49959583887436
本文精确Pareto,0.01,-423346521.8181416,-563.7395798319258,13.248277968188404,0.005142191134007045,68.43251980440728
本文精确Pareto,0.001,-422339631.6233415,-567.9169030769333,1.3248277968190223,0.0005142191135028809,68.40234972633674
本文精确Pareto,0.0,-422227754.9350253,-568.381050084372,7.806329449522309e-08,1.6670259504151846e-11,68.39899765583914
本文精确Pareto,0.0,-422227754.93503034,-568.3810501041563,7.958078640513122e-13,1.1387576474732706e-13,68.3989740750105
同学NSGA-II,,0.0,0.0,0.0,,56.41626096527035
同学NSGA-II,,-419828543.1847534,-114.0016700000001,70409.14104905442,,67.93296467825685
同学NSGA-II,,-146523885.0163016,208.89507171373955,57553.76036718419,,60.377058175375154
同学NSGA-II,,-419828543.1847534,-114.0016700000001,70409.14104905442,,67.93296467825685
同学NSGA-II,,-179276271.97515166,-25.0884445831988,70100.32353035106,,61.262975298371224
同学NSGA-II,,-419828543.1847534,-114.0016700000001,70409.14104905442,,67.93296467825685
同学NSGA-II,,-15278658.05817165,149.01353411770046,6178.156030843833,,56.82925727541548
同学NSGA-II,,-154721425.91041294,133.83934581607784,60663.474833741886,,60.598642393888035
同学NSGA-II,,-143133671.6437911,36.63636565972028,56018.96831904581,,60.28551086764312
同学NSGA-II,,-119985299.8100761,202.8419991834052,47181.71175862037,,59.659649505925195
同学NSGA-II,,-62088124.03927088,82.1717913086375,24415.43456826448,,58.09466177652931
同学NSGA-II,,-114657001.7406178,178.42235112144922,45030.527661740016,,59.51566923158814
同学NSGA-II,,-89324465.43150374,19.094960041209013,35029.07969416227,,58.83151501484066
同学NSGA-II,,-35078853.12809534,95.12769320265372,13886.78594349619,,57.36451690325865
同学NSGA-II,,-13208898.184249174,27.271945838053863,5198.489438070671,,56.77356156474202
同学NSGA-II,,-138178507.55982625,118.42533386402307,54143.62912425674,,60.151524238001876
同学NSGA-II,,-27816128.85016501,45.10066494454401,10935.296389137598,,57.168380172657564
同学NSGA-II,,-174378603.0523214,160.93326485990627,68333.39836457721,,61.130085720467754
同学NSGA-II,,-41675519.25874436,3.472450199870098,16296.087648215904,,57.54309003545968
同学NSGA-II,,-109780883.79606576,193.7927025834098,43185.56641902851,,59.383798187415024
同学NSGA-II,,-163549062.54679015,93.7822754355735,64019.66521889695,,60.837363528534325
同学NSGA-II,,-96869036.69396137,125.01154150844664,38016.0234166399,,59.03484098793541
同学NSGA-II,,-17268466.270646438,71.07921500603624,6851.951311605335,,56.88320213351077
同学NSGA-II,,-46875581.37476019,91.08368879185169,18440.489134994463,,57.683484742465275
同学NSGA-II,,-153242912.87354267,82.1717913086375,60019.12305695034,,60.55872940659547
同学NSGA-II,,-124569542.10542911,171.55592010400204,48896.73132355091,,59.78359844145922
同学NSGA-II,,-23307656.427095395,104.73326847982324,9252.87285766988,,57.046377315945506
同学NSGA-II,,-18699478.222790506,164.25343143118488,7535.33476287798,,56.92170537826004
同学NSGA-II,,-49814743.68995625,64.3582457265862,19551.23413676767,,57.762988631599136
同学NSGA-II,,-130106028.50535963,180.59722432809963,51108.17527016116,,59.9332397565449
同学NSGA-II,,-123637402.49874768,133.83934581607784,48483.91883495036,,59.75843169864422
同学NSGA-II,,-55271177.413106814,184.2667442776998,21842.574230070444,,57.91033851155035
同学NSGA-II,,-71100672.65706596,-9.951219409499185,27788.433239534555,,58.338591738678815
同学NSGA-II,,-58692908.10452268,114.75092941315306,23089.65789009345,,58.002882602869235
同学NSGA-II,,-37889039.27631109,26.29249318526813,14898.724371158396,,57.440616128947795
同学NSGA-II,,-101898878.69220345,102.41462854984202,39995.30987770724,,59.17078062949498
同学NSGA-II,,-82095626.69581571,94.5817578701306,32200.22617891873,,58.63554345585374
同学NSGA-II,,-73599094.82898958,62.54862494670878,28919.32594607024,,58.405934629723944
同学NSGA-II,,-37380297.4285714,26.879418853603383,14645.234742707553,,57.42694809018191
同学NSGA-II,,-107855702.79542416,94.28468755527476,42261.506405145046,,59.33188414281317
