capacity_mult,objective,total_cost_cny,total_carbon_tco2,sys_peak_net_mw,sum_region_peak_mw,sys_net_mad_mw,sys_net_std_mw,total_renewable_util_pct,total_curtail_mwh,total_charge_mwh,total_discharge_mwh,total_purchase_mwh,total_export_mwh
0.25,cost,-436498497.0484984,8.850562571909007,-126.60568205675202,-45.662682910000115,70.13315541609903,96.5099709645294,68.45036143446406,3644225.669122282,62424.48370684747,54571.48365652606,31.597867090000022,1384254.3848445297
0.25,balanced,-435880759.0921188,0.0,-296.9397051967303,-296.9397051967303,66.28736779042296,88.24033403520764,68.45074189140443,3644181.7234223913,62092.768697000596,54172.80464491794,0.0,1384199.7686755697
0.5,cost,-448196978.2639421,0.0,-203.39375000000007,-98.61414914675208,39.44942705610948,64.17237831009241,68.96680926344325,3584571.976696647,122237.80942393045,106858.01799839997,0.0,1436349.6880278662
0.5,balanced,-447919784.10682756,0.0,-412.0220409923461,-412.0220409923461,35.90643623726038,52.738371653288866,68.96593203696263,3584673.303095417,121449.13865048514,106169.71700825411,0.0,1436348.7314123951
1.0,cost,-459217791.0393696,0.0,-413.5242004166253,-413.5242004166253,0.5125324859117594,4.982502334163031,69.51470765223485,3521285.502959157,185155.63463206013,161857.94079534698,0.0,1491718.259354173
1.0,balanced,-459217651.7485376,0.0,-568.3810501041561,-568.3810501041561,0.5042541968790304,2.817758147760273,69.51491072921456,3521262.0460076374,185342.09688579524,162020.9460975622,0.0,1491718.259354173
1.5,cost,-459341065.15255415,0.0,-618.40213291,-618.40213291,0.0013271319055071695,0.032562097566520364,69.5214657474245,3520504.891038252,186391.01732020645,162932.8543413246,0.0,1492338.40213291
1.5,balanced,-459341065.15255415,0.0,-618.40213291,-618.40213291,0.0013271319055071695,0.032562097566520364,69.52197832573269,3520445.684305209,186861.6590773001,163344.28936537576,0.0,1492338.40213291
2.0,cost,-459341065.15255415,0.0,-618.40213291,-618.40213291,0.0013271319055071695,0.032562097566520364,69.52210795200482,3520430.711474784,186980.2268867198,163447.88434437034,0.0,1492338.40213291
2.0,balanced,-459341065.15255415,0.0,-618.40213291,-618.40213291,0.0013271319055071695,0.032562097566520364,69.52255405170952,3520379.1835312396,187363.19941092306,163779.3289250289,0.0,1492338.40213291
