TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionE,2394,2398.0,5.0,-1175.3000658761528,0.0,0.0,15.2
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionE,2394,2397.0,5.0,-469.0052700922265,0.0,0.0,6.0
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionB,2395,2396.75,5.0,-240.1173789173747,0.0,0.0,4.2525
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionA,2385,2389.9166666666665,12.0,-265.66613756612986,0.0,0.0,3.9824999999998782
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,-2.366205533597212,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionA,2398,2399.45,5.0,-166.75703703700373,0.0,0.0,3.327749999999583
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionD,2382,2384.116666666667,5.0,-273.9785471014655,0.0,0.0,3.5221333333335356
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionA,2396,2399.9166666666665,5.0,-403.18465608463646,0.0,0.0,6.3449999999997555
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionF,2397,2398.75,5.0,-276.8289302967605,0.0,0.0,4.667250000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2395,2400.65,76.0,-11153.247466666848,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-34.07481481481608,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionB,2393,2396.0333333333333,5.0,-292.82940170939406,0.0,0.0,4.913999999999952
1234,BatchInference,2385,RegionB,80.0,9.0,5.566666666666666,2406.0,scheduled,RegionA,2399,2404.5666666666666,12.0,-499.730793650788,0.0,0.0,6.763499999999927
1264,AITraining,2388,RegionF,150.0,113.0,4.7,2406.0,scheduled,RegionD,2388,2392.7,25.0,-8641.130262318506,0.0,0.0,108.7692799999958
1371,AITraining,2392,RegionC,150.0,18.0,5.583333333333333,2406.0,scheduled,RegionD,2392,2397.5833333333335,58.0,-1554.7831231884513,0.0,0.0,20.582400000000558
1455,AITraining,2399,RegionF,150.0,37.0,2.7333333333333334,2406.0,scheduled,RegionF,2399,2401.733333333333,5.0,3796.264871398332,1954.7839999999999,2.10590384,13.031893333331737
1540,AITraining,2377,RegionF,150.0,98.0,4.866666666666666,2406.0,scheduled,RegionC,2388,2392.866666666667,76.0,-8257.096696296505,0.0,0.0,105.30688000000261
1664,BatchInference,2383,RegionE,80.0,14.0,2.183333333333333,2406.0,scheduled,RegionE,2385,2387.1833333333334,5.0,-298.2951251646989,0.0,0.0,3.82083333333344
