TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionD,2394,2398.0,22.0,-5343.756086956521,0.0,0.0,15.5648
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionF,2392,2395.0,18.0,-2104.446790890269,0.0,0.0,6.096
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionA,2391,2392.75,12.0,-1390.62685185185,0.0,0.0,4.2525
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionB,2393,2397.9166666666665,5.0,-1343.067877492836,0.0,0.0,3.9824999999998782
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,-25.086297760212837,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionD,2396,2397.45,65.0,-962.0817753621799,0.0,0.0,3.1551999999996045
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionD,2386,2388.116666666667,5.0,-1224.3227536232591,0.0,0.0,3.5221333333335356
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionA,2396,2399.9166666666665,5.0,-2136.566402116317,0.0,0.0,6.3449999999997555
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionF,2397,2398.75,5.0,-1547.5309437543162,0.0,0.0,4.667250000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2388,2393.65,76.0,-49183.77896296376,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-173.94074074074646,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionB,2398,2401.0333333333333,5.0,-1634.0592592592432,0.0,0.0,4.913999999999952
1234,BatchInference,2385,RegionB,80.0,9.0,5.566666666666666,2406.0,scheduled,RegionB,2385,2390.5666666666666,5.0,-2333.4822649572425,0.0,0.0,6.763499999999927
1264,AITraining,2388,RegionF,150.0,113.0,4.7,2406.0,scheduled,RegionD,2388,2392.7,25.0,-38001.16013767969,0.0,0.0,108.7692799999958
1371,AITraining,2392,RegionC,150.0,18.0,5.583333333333333,2406.0,scheduled,RegionD,2392,2397.5833333333335,58.0,-7090.390724637877,0.0,0.0,20.582400000000558
1455,AITraining,2399,RegionF,150.0,37.0,2.7333333333333334,2406.0,scheduled,RegionF,2399,2401.733333333333,5.0,-776.3701845460271,1954.7839999999999,2.10590384,13.031893333331737
1540,AITraining,2377,RegionF,150.0,98.0,4.866666666666666,2406.0,scheduled,RegionC,2389,2393.866666666667,76.0,-36670.366024692274,0.0,0.0,105.30688000000261
1664,BatchInference,2383,RegionE,80.0,14.0,2.183333333333333,2406.0,scheduled,RegionD,2392,2394.1833333333334,22.0,-1335.191014492792,0.0,0.0,3.9125333333334424
1843,RealTimeInference,2394,RegionA,20.0,1.0,0.8166666666666667,2395.0,scheduled,RegionA,2394,2394.8166666666666,5.0,-20.658888888886615,0.0,0.0,0.08819999999999346
2055,AITraining,2386,RegionD,150.0,116.0,2.6666666666666665,2406.0,scheduled,RegionB,2394,2396.6666666666665,60.0,-23217.43475783343,0.0,0.0,66.81599999999621
2167,AITraining,2390,RegionD,150.0,57.0,4.15,2406.0,scheduled,RegionD,2390,2394.15,5.0,-16914.718311594577,0.0,0.0,48.44544000000107
2374,BatchInference,2387,RegionA,80.0,7.0,0.65,2406.0,scheduled,RegionA,2399,2399.65,5.0,-149.91501322754226,0.0,0.0,0.614250000000086
2412,RealTimeInference,2392,RegionC,20.0,2.0,4.266666666666667,2397.0,scheduled,RegionC,2392,2396.266666666667,5.0,-317.5687407407574,0.0,0.0,0.9420800000000469
2473,AITraining,2398,RegionC,150.0,16.0,5.833333333333333,2406.0,scheduled,RegionE,2398,2403.8333333333335,70.0,-6388.945981554847,0.0,0.0,18.66666666666715
2508,RealTimeInference,2378,RegionB,20.0,1.0,4.65,2383.0,scheduled,RegionB,2378,2382.65,5.0,-167.0529059829095,0.0,0.0,0.5022000000000099
2517,AITraining,2392,RegionF,150.0,30.0,2.7333333333333334,2406.0,scheduled,RegionF,2399,2401.733333333333,5.0,-5820.203354036814,0.0,0.0,16.662399999998705
2648,BatchInference,2397,RegionE,80.0,19.0,3.183333333333333,2406.0,scheduled,RegionE,2397,2400.1833333333334,5.0,-2244.5093033596218,107.54791666670225,0.10319375000003414,7.125
2763,BatchInference,2379,RegionB,80.0,15.0,3.75,2406.0,scheduled,RegionB,2392,2395.75,5.0,-2639.816773504274,0.0,0.0,7.593750000000001
3113,BatchInference,2387,RegionD,80.0,15.0,6.233333333333333,2406.0,scheduled,RegionA,2392,2398.233333333333,65.0,-4300.794047618897,0.0,0.0,12.622499999999572
3444,RealTimeInference,2378,RegionA,20.0,7.0,1.7166666666666666,2380.0,scheduled,RegionA,2378,2379.7166666666667,5.0,-445.3649206349287,0.0,0.0,1.2978000000000232
3455,RealTimeInference,2386,RegionC,20.0,1.0,2.8666666666666667,2389.0,scheduled,RegionC,2386,2388.866666666667,5.0,-98.26553086420218,0.0,0.0,0.31648000000001336
3498,RealTimeInference,2376,RegionB,20.0,2.0,1.1833333333333333,2378.0,scheduled,RegionB,2376,2377.1833333333334,5.0,-81.68649572650033,0.0,0.0,0.25560000000001315
3566,BatchInference,2392,RegionE,80.0,9.0,0.9,2406.0,scheduled,RegionE,2398,2398.9,5.0,-345.95009881426506,0.0,0.0,1.0125000000001023
3736,BatchInference,2396,RegionD,80.0,19.0,6.6,2406.0,scheduled,RegionF,2396,2402.6,25.0,-5512.463747411932,0.0,0.0,15.925799999999782
3782,AITraining,2390,RegionE,150.0,89.0,5.766666666666667,2406.0,scheduled,RegionD,2398,2403.766666666667,22.0,-36731.54359420425,0.0,0.0,105.11018666667053
3809,AITraining,2376,RegionF,150.0,32.0,1.6333333333333333,2406.0,scheduled,RegionC,2382,2383.633333333333,76.0,-3886.313679012044,0.0,0.0,11.540479999999143
3928,BatchInference,2397,RegionF,80.0,4.0,3.033333333333333,2406.0,scheduled,RegionF,2397,2400.0333333333333,5.0,-453.63026006350134,4.402666666662663,0.004743026666662354,1.524
3948,RealTimeInference,2382,RegionF,20.0,1.0,5.5,2388.0,scheduled,RegionF,2382,2387.5,5.0,-187.99718426501033,0.0,0.0,0.5588
4060,BatchInference,2383,RegionA,80.0,8.0,2.8,2406.0,scheduled,RegionA,2383,2385.8,5.0,-1028.4322751323434,0.0,0.0,3.0240000000001968
4113,BatchInference,2391,RegionA,80.0,15.0,4.2,2406.0,scheduled,RegionD,2393,2397.2,65.0,-2692.2097826085724,0.0,0.0,8.06399999999965
4202,AITraining,2377,RegionE,150.0,94.0,4.666666666666667,2406.0,scheduled,RegionC,2394,2398.6666666666665,70.0,-33718.759999998896,0.0,0.0,96.85759999999685
4316,RealTimeInference,2377,RegionA,20.0,5.0,4.366666666666666,2382.0,scheduled,RegionC,2377,2381.366666666667,15.0,-819.4733333333567,0.0,0.0,2.4104000000000667
4353,AITraining,2398,RegionE,150.0,21.0,3.7,2406.0,scheduled,RegionF,2398,2401.7,18.0,-1837.6178727837191,1109.472,1.19524272,11.521439999999224
4354,RealTimeInference,2390,RegionC,20.0,4.0,5.95,2396.0,scheduled,RegionC,2390,2395.95,5.0,-906.7147160493545,0.0,0.0,2.6275199999999197
4418,BatchInference,2398,RegionD,80.0,11.0,4.233333333333333,2406.0,scheduled,RegionF,2398,2402.233333333333,25.0,-802.1992813249494,363.2200000000001,0.3912997000000001,4.516966666666371
4590,RealTimeInference,2382,RegionC,20.0,5.0,3.45,2386.0,scheduled,RegionC,2382,2385.45,5.0,-652.0770370370018,0.0,0.0,1.9043999999998993
4599,AITraining,2385,RegionD,150.0,34.0,2.1666666666666665,2406.0,scheduled,RegionB,2393,2395.1666666666665,60.0,-5414.614245013858,0.0,0.0,15.911999999998889
4611,BatchInference,2393,RegionA,80.0,15.0,2.05,2406.0,scheduled,RegionA,2397,2399.05,5.0,-1365.680886243517,0.0,0.0,4.151250000000369
4848,BatchInference,2394,RegionB,80.0,17.0,3.6,2406.0,scheduled,RegionD,2394,2397.6,60.0,-2579.912173912974,0.0,0.0,7.8335999999998025
4851,BatchInference,2390,RegionD,80.0,8.0,3.8333333333333335,2406.0,scheduled,RegionD,2398,2401.8333333333335,5.0,-1330.5025362319377,0.0,0.0,3.9253333333334886
4886,RealTimeInference,2398,RegionF,20.0,3.0,3.3333333333333335,2402.0,scheduled,RegionF,2398,2401.3333333333335,5.0,-347.8515527950472,0.0,0.0,1.0160000000000462
4930,AITraining,2391,RegionE,150.0,50.0,5.866666666666666,2406.0,scheduled,RegionD,2393,2398.866666666667,22.0,-20967.584420290288,0.0,0.0,60.07466666666791
4943,RealTimeInference,2391,RegionC,20.0,4.0,3.0,2394.0,scheduled,RegionC,2391,2394.0,5.0,-449.8738271604937,0.0,0.0,1.3248
5138,RealTimeInference,2396,RegionB,20.0,1.0,5.266666666666667,2402.0,scheduled,RegionB,2396,2401.266666666667,5.0,-190.13042735043558,0.0,0.0,0.568800000000023
5272,RealTimeInference,2398,RegionC,20.0,4.0,4.35,2403.0,scheduled,RegionC,2398,2402.35,5.0,-659.6804444444305,0.0,0.0,1.9209599999999598
5277,AITraining,2385,RegionE,150.0,64.0,1.4666666666666666,2406.0,scheduled,RegionA,2395,2396.4666666666667,78.0,-6912.337989418136,0.0,0.0,20.27520000000042
5435,AITraining,2395,RegionE,150.0,116.0,2.95,2406.0,scheduled,RegionF,2395,2397.95,18.0,-24248.361998618235,0.0,0.0,69.5350399999957
5663,RealTimeInference,2393,RegionB,20.0,6.0,4.25,2398.0,scheduled,RegionC,2393,2397.25,14.0,-959.4311111111109,0.0,0.0,2.8151999999999995
5727,AITraining,2389,RegionD,150.0,82.0,2.316666666666667,2406.0,scheduled,RegionD,2389,2391.3166666666666,5.0,-13567.59689855037,0.0,0.0,38.90517333333232
5845,AITraining,2382,RegionD,150.0,26.0,1.5166666666666666,2406.0,scheduled,RegionA,2383,2384.516666666667,65.0,-2859.486455026871,0.0,0.0,8.517600000001192
6052,AITraining,2380,RegionF,150.0,92.0,4.95,2406.0,scheduled,RegionB,2381,2385.95,79.0,-34294.970769229505,0.0,0.0,98.3663999999964
6232,RealTimeInference,2389,RegionA,20.0,5.0,6.0,2395.0,scheduled,RegionC,2389,2395.0,15.0,-1131.08024691358,0.0,0.0,3.312
6235,RealTimeInference,2392,RegionB,20.0,1.0,1.7333333333333334,2394.0,scheduled,RegionB,2392,2393.733333333333,5.0,-57.2336752136672,0.0,0.0,0.1871999999999771
6323,BatchInference,2388,RegionA,80.0,5.0,2.3666666666666667,2406.0,scheduled,RegionA,2397,2399.366666666667,5.0,-479.1064814815119,0.0,0.0,1.5975000000000819
6392,BatchInference,2397,RegionD,80.0,5.0,4.783333333333333,2406.0,scheduled,RegionE,2397,2401.7833333333333,22.0,-965.3502140974902,0.0,0.0,2.9895833333333144
6423,RealTimeInference,2377,RegionA,20.0,7.0,4.383333333333334,2382.0,scheduled,RegionC,2377,2381.383333333333,15.0,-1160.4002962962636,0.0,0.0,3.3874399999999065
6438,AITraining,2394,RegionE,150.0,98.0,4.95,2406.0,scheduled,RegionD,2394,2398.95,22.0,-34679.78593478133,0.0,0.0,99.34847999999634
6481,RealTimeInference,2377,RegionA,20.0,6.0,6.45,2384.0,scheduled,RegionC,2377,2383.45,15.0,-1469.275407407365,0.0,0.0,4.272479999999879
6507,AITraining,2378,RegionC,150.0,17.0,5.35,2406.0,scheduled,RegionC,2398,2403.35,5.0,-6985.31599999988,0.0,0.0,20.081759999999658
6508,BatchInference,2394,RegionB,80.0,23.0,4.983333333333333,2406.0,scheduled,RegionD,2395,2399.983333333333,60.0,-4984.6273913041305,0.0,0.0,14.67093333333271
6767,AITraining,2395,RegionF,150.0,29.0,0.7,2406.0,scheduled,RegionE,2395,2395.7,18.0,-1391.4822134383658,0.0,0.0,4.0599999999989445
6876,AITraining,2391,RegionD,150.0,52.0,6.5,2406.0,scheduled,RegionD,2391,2397.5,5.0,-24211.046521739136,0.0,0.0,69.22240000000001
7165,RealTimeInference,2397,RegionB,20.0,5.0,4.633333333333334,2402.0,scheduled,RegionC,2397,2401.633333333333,14.0,-868.0241975308406,0.0,0.0,2.557599999999933
7372,AITraining,2395,RegionF,150.0,104.0,4.1,2406.0,scheduled,RegionF,2395,2399.1,5.0,-30265.231561075936,0.0,0.0,86.64447999999808
7403,BatchInference,2376,RegionD,80.0,10.0,6.233333333333333,2406.0,scheduled,RegionC,2392,2398.233333333333,58.0,-2915.5518518517492,0.0,0.0,8.601999999999707
7484,RealTimeInference,2393,RegionA,20.0,3.0,3.95,2397.0,scheduled,RegionA,2393,2396.95,5.0,-438.1654497354291,0.0,0.0,1.279799999999941
7530,RealTimeInference,2398,RegionA,20.0,5.0,1.1666666666666667,2400.0,scheduled,RegionA,2398,2399.1666666666665,5.0,-211.0338624338338,0.0,0.0,0.6299999999999182
