TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionE,2394,2398.0,5.0,-949.0138339920987,0.0,0.0,15.2
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionE,2393,2396.0,5.0,-337.59881422925196,0.0,0.0,6.0
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionE,2390,2391.75,74.0,-58.861660079053706,0.0,0.0,3.9375
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionD,2386,2390.9166666666665,60.0,-173.08543478259412,0.0,0.0,3.7759999999998843
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,0.6361001317524857,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionE,2393,2394.45,78.0,41.91304347829484,0.0,0.0,3.0812499999996135
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionD,2382,2384.116666666667,5.0,-235.63615579711748,0.0,0.0,3.5221333333335356
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionE,2388,2391.9166666666665,78.0,-249.4624505928657,0.0,0.0,5.8749999999997735
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionF,2397,2398.75,5.0,137.10136645962905,0.0,0.0,4.667250000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2392,2397.65,76.0,-10813.284503703868,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-18.14888888888991,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionE,2390,2393.0333333333333,74.0,-134.18577075098477,0.0,0.0,4.549999999999955
1234,BatchInference,2385,RegionB,80.0,9.0,5.566666666666666,2406.0,scheduled,RegionB,2399,2404.5666666666666,5.0,-384.0415384615212,0.0,0.0,6.763499999999927
1264,AITraining,2388,RegionF,150.0,113.0,4.7,2406.0,scheduled,RegionB,2388,2392.7,79.0,-8533.0618461535,0.0,0.0,114.71759999999558
1371,AITraining,2392,RegionC,150.0,18.0,5.583333333333333,2406.0,scheduled,RegionE,2399,2404.5833333333335,70.0,-1401.31027667989,0.0,0.0,20.100000000000545
1455,AITraining,2399,RegionF,150.0,37.0,2.7333333333333334,2406.0,scheduled,RegionF,2399,2401.733333333333,5.0,1840.2397756191672,1954.7839999999999,2.10590384,13.031893333331737
1540,AITraining,2377,RegionF,150.0,98.0,4.866666666666666,2406.0,scheduled,RegionA,2394,2398.866666666667,82.0,-7992.646095238302,0.0,0.0,103.01760000000257
