TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionD,2394,2398.0,22.0,-6910.186268115939,0.0,0.0,15.5648
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionF,2399,2402.0,18.0,-2721.982608695652,0.0,0.0,6.096
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionF,2390,2391.75,79.0,-1718.3678571428575,0.0,0.0,4.000500000000001
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionB,2397,2401.9166666666665,5.0,-1743.519301994244,0.0,0.0,3.9824999999998782
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,-36.919631093546776,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionE,2394,2395.45,78.0,-1307.2186264820396,0.0,0.0,3.0812499999996135
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionC,2382,2384.116666666667,58.0,-1589.8170987655271,0.0,0.0,3.797300000000217
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionD,2388,2391.9166666666665,65.0,-2613.866666666562,0.0,0.0,6.015999999999768
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionD,2397,2398.75,25.0,-2012.8570652173921,0.0,0.0,4.704000000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2393,2398.65,76.0,-63312.64385185288,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-229.13809523810258,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionF,2395,2398.0333333333333,79.0,-1999.5208695651968,0.0,0.0,4.6227999999999545
1234,BatchInference,2385,RegionB,80.0,9.0,5.566666666666666,2406.0,scheduled,RegionB,2385,2390.5666666666666,5.0,-3012.124857549825,0.0,0.0,6.763499999999927
1264,AITraining,2388,RegionF,150.0,113.0,4.7,2406.0,scheduled,RegionD,2396,2400.7,25.0,-48886.261144925644,0.0,0.0,108.7692799999958
1371,AITraining,2392,RegionC,150.0,18.0,5.583333333333333,2406.0,scheduled,RegionD,2395,2400.5833333333335,58.0,-9175.306449275613,0.0,0.0,20.582400000000558
