Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridPurchase_MW,Curtailment_MW,Cost_CNY,CarbonEmission_tCO2
0,RegionA,9.0,0.014285714285714285,0.72,367.981667,368.70166700000004,497.7472504500001,540.19,497.7472504500001,0.0,42.442749549999974,0.0,0.0
0,RegionB,12.0,0.020512820512820513,0.96,325.436667,326.396667,440.63550045,540.19,440.63550045,0.0,99.55449955000006,0.0,0.0
0,RegionC,3.1333333333333333,0.005802469135802469,0.25066666666666665,337.659333,337.9099996666667,466.31579954,540.19,466.31579954,0.0,73.87420046000005,0.0,0.0
0,RegionD,0.0,0.0,0.0,296.44,296.44,379.4432,540.19,379.4432,0.0,160.74680000000006,0.0,0.0
0,RegionE,23.0,0.022727272727272728,2.3000000000000003,346.67,348.97,436.21250000000003,540.19,436.21250000000003,0.0,103.97750000000002,0.0,0.0
0,RegionF,0.0,0.0,0.0,358.41,358.41,455.18070000000006,540.19,455.18070000000006,0.0,85.0093,0.0,0.0
1,RegionA,11.0,0.01746031746031746,0.88,393.03,393.90999999999997,531.7785,587.87,531.7785,0.0,56.091499999999996,0.0,0.0
1,RegionB,15.433333333333332,0.02638176638176638,1.2346666666666666,381.385333,382.6199996666667,516.53699955,587.87,516.53699955,0.0,71.33300044999999,0.0,0.0
1,RegionC,81.46666666666667,0.1508641975308642,12.997333333333334,357.876,370.87333333333333,511.80519999999996,587.87,511.80519999999996,0.0,76.06480000000005,0.0,0.0
1,RegionD,2.5999999999999996,0.0017663043478260867,0.20799999999999996,304.584,304.79200000000003,390.13376000000005,587.87,390.13376000000005,0.0,197.73623999999995,0.0,0.0
1,RegionE,21.849999999999998,0.021590909090909088,2.185,382.138333,384.323333,480.40416625,587.87,480.40416625,0.0,107.46583375,0.0,0.0
1,RegionF,0.0,0.0,0.0,314.83,314.83,399.8341,587.87,399.8341,0.0,188.03590000000003,0.0,0.0
2,RegionA,27.95,0.044365079365079364,2.2359999999999998,395.664,397.9,537.165,650.0,537.165,0.0,112.83500000000004,0.0,0.0
2,RegionB,24.8,0.0423931623931624,1.9840000000000002,361.789333,363.773333,491.09399955,650.0,491.09399955,0.0,158.90600045000002,0.0,0.0
2,RegionC,273.0,0.5055555555555555,43.68,357.1,400.78000000000003,553.0764,650.0,553.0764,0.0,96.92359999999996,0.0,0.0
2,RegionD,7.283333333333333,0.0049479166666666664,0.7283333333333333,309.091667,309.8200003333333,396.5696004266667,650.0,396.5696004266667,0.0,253.43039957333332,0.0,0.0
2,RegionE,0.0,0.0,0.0,382.82,382.82,478.525,650.0,478.525,0.0,171.47500000000002,0.0,0.0
2,RegionF,0.0,0.0,0.0,319.95,319.95,406.3365,650.0,406.3365,0.0,243.6635,0.0,0.0
3,RegionA,48.0,0.0761904761904762,3.84,392.285,396.125,534.7687500000001,722.35,534.7687500000001,0.0,187.58124999999995,0.0,0.0
3,RegionB,21.133333333333336,0.03612535612535613,1.6906666666666672,363.532,365.22266666666667,493.05060000000003,722.35,493.05060000000003,0.0,229.2994,0.0,0.0
3,RegionC,273.0,0.5055555555555555,43.68,357.1,400.78000000000003,553.0764,722.35,553.0764,0.0,169.2736,0.0,0.0
3,RegionD,36.0,0.024456521739130436,5.76,310.994333,316.754333,405.44554624,722.35,405.44554624,0.0,316.90445376,0.0,0.0
3,RegionE,0.0,0.0,0.0,390.24,390.24,487.8,722.35,487.8,0.0,234.55,0.0,0.0
3,RegionF,0.0,0.0,0.0,331.53,331.53,421.0431,722.35,421.0431,0.0,301.30690000000004,0.0,0.0
4,RegionA,58.5,0.09285714285714286,4.68,390.553333,395.233333,533.56499955,800.0,533.56499955,0.0,266.43500044999996,0.0,0.0
4,RegionB,37.9,0.06478632478632479,3.3120000000000003,364.354667,367.666667,496.35000045000004,800.0,496.35000045000004,0.0,303.64999954999996,0.0,0.0
4,RegionC,273.0,0.5055555555555555,43.68,355.5,399.18,550.8684,800.0,550.8684,0.0,249.13160000000005,0.0,0.0
4,RegionD,36.20000000000002,0.024592391304347837,4.412000000000003,357.345667,361.75766699999997,463.04981375999995,800.0,463.04981375999995,0.0,336.95018624000005,0.0,0.0
4,RegionE,18.700000000000024,0.018478260869565243,2.992000000000004,376.258333,379.250333,474.06291625,800.0,474.06291625,0.0,325.93708375,0.0,0.0
4,RegionF,0.0,0.0,0.0,339.75,339.75,431.4825,800.0,431.4825,0.0,368.5175,0.0,0.0
5,RegionA,70.38333333333333,0.1117195767195767,5.738333333333333,390.19,395.92833333333334,534.5032500000001,877.65,534.5032500000001,0.0,343.1467499999999,0.0,0.0
5,RegionB,75.25,0.12863247863247862,8.7,376.153333,384.85333299999996,519.55199955,877.65,519.55199955,0.0,358.09800045,0.0,0.0
5,RegionC,254.78333333333336,0.471820987654321,40.76533333333334,362.527333,403.29266633333333,556.5438795399999,877.65,556.5438795399999,0.0,321.10612046000006,0.0,0.0
5,RegionD,26.0,0.017663043478260868,2.54,359.761333,362.301333,463.74570624,877.65,463.74570624,0.0,413.90429376,0.0,0.0
5,RegionE,11.0,0.010869565217391304,1.04,402.854,403.894,504.8675,877.65,504.8675,0.0,372.78249999999997,0.0,0.0
5,RegionF,0.0,0.0,0.0,374.923333,374.923333,476.15263291,877.65,476.15263291,0.0,401.49736708999995,0.0,0.0
6,RegionA,85.71666666666667,0.13605820105820107,6.9573333333333345,392.482667,399.44000033333333,539.24400045,950.0,539.24400045,0.0,410.75599954999996,0.0,0.0
6,RegionB,99.4,0.16991452991452993,11.058666666666669,379.895,390.95366666666666,527.78745,950.0,527.78745,0.0,422.21254999999996,0.0,0.0
6,RegionC,301.0,0.5574074074074075,48.16,356.012,404.172,557.75736,950.0,557.75736,0.0,392.24264000000005,0.0,0.0
6,RegionD,21.233333333333327,0.014424818840579706,2.0633333333333326,376.36,378.42333333333335,484.38186666666667,950.0,484.38186666666667,0.0,465.61813333333333,0.0,0.0
6,RegionE,11.0,0.010869565217391304,1.04,438.076667,439.116667,548.8958337500001,950.0,548.8958337500001,0.0,401.10416624999993,0.0,0.0
6,RegionF,10.0,0.010351966873706004,1.0,408.834667,409.834667,520.49002709,950.0,520.49002709,0.0,429.50997291,0.0,0.0
7,RegionA,71.36666666666667,0.11328042328042329,5.809333333333335,391.310667,397.12000033333334,536.1120004500001,1012.13,536.1120004500001,0.0,476.0179995499999,0.0,0.0
7,RegionB,120.9,0.20666666666666667,15.418666666666669,378.021333,393.4399996666667,531.1439995500001,1012.13,531.1439995500001,0.0,480.9860004499999,0.0,0.0
