Hour,Region,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2
0,RegionA,499.149,540.19,59.8979,55.0,0.0,425.2921,457.2511,457.2511,213993.5148,305.39800969000004
0,RegionB,458.7435,540.19,68.8115,49.5,0.0,421.8785,406.132,406.132,182150.202,253.75127360000002
0,RegionC,468.1098,540.19,84.2598,46.75,0.0,409.1802,399.15,399.15,173829.82499999998,236.496375
0,RegionD,443.3408,540.19,161.3846,75.7611,166.6744,136.37,344.3562,177.6818,59910.871956,155.8211805
0,RegionE,448.4125,540.19,246.6269,58.7126,129.1678,105.6827,259.3856,130.2178,39182.774852,61.4743872
0,RegionF,478.7519,540.19,292.9777,49.4425,108.7734,88.9964,245.7742,137.0008,41842.046480000005,68.84135342
1,RegionA,535.4235,587.87,64.2508,55.0,0.0,468.6192,489.1727,489.1727,229084.467137,327.89246081
1,RegionB,527.337,587.87,79.1005,49.5,0.0,459.2695,464.4364,464.4364,208434.411956,291.24806644
1,RegionC,536.544,587.87,96.5779,46.75,0.0,444.5421,455.2661,455.2661,198395.86105799998,270.70122306
1,RegionD,465.3568,587.87,168.0041,83.9732,180.0,155.8927,359.7527,179.7527,61348.635136,163.36370107
1,RegionE,497.2375,587.87,273.4806,62.8779,138.3313,113.1802,281.3569,143.0255,42872.663389999994,66.90667082
1,RegionF,462.8261,587.87,286.006,60.3728,132.8202,108.6711,236.8201,104.0,34660.282231000005,66.57013011000001
2,RegionA,544.32,650.0,65.3184,42.9892,0.0,541.6924,497.0016,497.0016,232899.919776,332.64317088
2,RegionB,531.36,650.0,79.704,41.6473,0.0,528.6487,467.856,467.856,210104.77247999999,292.9246416
2,RegionC,536.544,650.0,96.5779,38.0194,0.0,515.4027,455.2661,455.2661,198527.888227,270.29148357
2,RegionD,526.208,650.0,189.4349,92.113,180.0,188.4521,399.1731,219.1731,72420.383766,180.98508354
2,RegionE,503.4,650.0,276.87,74.626,164.1772,134.3268,284.13,119.9528,38599.607948000004,67.480875
