Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
0,RegionA,19.383333333333333,0.030767195767195766,1.7583333333333333,367.981667,369.74000033333334,499.14900045,540.19,499.14900045,0.0,41.04099955000004,0.0,0.0,0.0,0.0,0.9240248809678075
0,RegionB,62.0,0.10598290598290598,8.96,325.436667,334.396667,451.43550045,540.19,451.43550045,0.0,88.75449955000005,0.0,0.0,0.0,0.0,0.8356976257427942
0,RegionC,3.1333333333333333,0.005802469135802469,0.25066666666666665,337.659333,337.9099996666667,466.31579954,540.19,466.31579954,0.0,73.87420046000005,0.0,0.0,0.0,0.0,0.8632440429108276
0,RegionD,159.0,0.10801630434782608,25.44,296.44,321.88,412.0064,540.19,412.0064,128.18360000000007,0.0,0.0,-128.18360000000007,-27945.306636000016,0.0,1.0
0,RegionE,61.0,0.06027667984189723,9.76,346.67,356.43,445.5375,540.19,445.5375,94.65250000000003,0.0,0.0,-94.65250000000003,-18235.750650000005,0.0,1.0
0,RegionF,116.0,0.12008281573498965,18.56,358.41,376.97,478.75190000000003,540.19,478.75190000000003,61.43810000000002,0.0,0.0,-61.43810000000002,-12459.646680000005,0.0,1.0
1,RegionA,16.0,0.025396825396825397,1.38,393.03,394.40999999999997,532.4535,587.87,532.4535,0.0,55.41650000000004,0.0,0.0,0.0,0.0,0.905733410447888
1,RegionB,65.43333333333334,0.11185185185185186,9.234666666666666,381.385333,390.6199996666667,527.3369995500001,587.87,527.3369995500001,0.0,60.53300044999992,0.0,0.0,0.0,0.0,0.8970299548369539
1,RegionC,74.46666666666667,0.13790123456790124,11.877333333333333,357.876,369.75333333333333,510.2596,587.87,510.2596,0.0,77.61040000000003,0.0,0.0,0.0,0.0,0.8679803357885246
1,RegionD,154.7,0.10509510869565217,23.584,304.584,328.168,420.05504,587.87,420.05504,167.81495999999999,0.0,0.0,-167.81495999999999,-36608.833523999994,0.0,1.0
1,RegionE,28.46666666666666,0.028129117259552038,4.554666666666666,382.138333,386.69299966666665,483.36624958333334,587.87,483.36624958333334,104.50375041666666,0.0,0.0,-104.50375041666666,-20146.233005325,0.0,1.0
1,RegionF,116.0,0.12008281573498965,18.56,314.83,333.39,423.4053,587.87,423.4053,164.4647,0.0,0.0,-164.4647,-33374.821571,0.0,1.0
2,RegionA,32.95,0.05230158730158731,2.7359999999999998,395.664,398.4,537.84,650.0,537.84,0.0,112.15999999999997,0.0,0.0,0.0,0.0,0.8274461538461539
