Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
0,RegionA,14.383333333333333,0.02283068783068783,1.2583333333333333,367.981667,369.24000033333334,498.47400045000006,540.19,498.47400045000006,0.0,41.71599954999999,0.0,0.0,0.0,0.0,0.9227753206279272
0,RegionB,45.833333333333336,0.07834757834757836,6.373333333333334,325.436667,331.81000033333333,447.94350045000004,540.19,447.94350045000004,0.0,92.24649955000001,0.0,0.0,0.0,0.0,0.8292332335844795
0,RegionC,119.13333333333334,0.2206172839506173,18.810666666666666,337.659333,356.4699996666667,491.92859954,540.19,491.92859954,0.0,48.26140046000006,0.0,0.0,0.0,0.0,0.910658471167552
0,RegionD,57.0,0.03872282608695652,9.120000000000001,296.44,305.56,391.1168,540.19,391.1168,149.07320000000004,0.0,0.0,-149.07320000000004,-32499.448332000007,0.0,1.0
0,RegionE,23.0,0.022727272727272728,2.3000000000000003,346.67,348.97,436.21250000000003,540.19,436.21250000000003,103.97750000000002,0.0,0.0,-103.97750000000002,-20032.305150000004,0.0,1.0
0,RegionF,0.0,0.0,0.0,358.41,358.41,455.18070000000006,540.19,455.18070000000006,85.0093,0.0,0.0,-85.0093,-17239.88604,0.0,1.0
1,RegionA,92.0,0.14603174603174604,13.840000000000002,393.03,406.86999999999995,549.2745,587.87,549.2745,0.0,38.595500000000015,0.0,0.0,0.0,0.0,0.9343468794121149
1,RegionB,105.43333333333334,0.18022792022792022,15.794666666666668,381.385333,397.1799996666667,536.1929995500001,587.87,536.1929995500001,0.0,51.67700044999992,0.0,0.0,0.0,0.0,0.912094509925664
1,RegionC,220.46666666666667,0.4082716049382716,35.07733333333333,357.876,392.9533333333333,542.2755999999999,587.87,542.2755999999999,0.0,45.594400000000064,0.0,0.0,0.0,0.0,0.9224413560821269
1,RegionD,52.900000000000006,0.035937500000000004,8.256,304.584,312.84000000000003,400.43520000000007,587.87,400.43520000000007,180.0,7.434799999999939,0.0,-180.0,-39267.0,0.0,0.9873529862044331
1,RegionE,21.849999999999998,0.021590909090909088,2.185,382.138333,384.323333,480.40416625,587.87,480.40416625,107.46583375,0.0,0.0,-107.46583375,-20717.263430325,0.0,1.0
1,RegionF,0.0,0.0,0.0,314.83,314.83,399.8341,587.87,399.8341,188.03590000000003,0.0,0.0,-188.03590000000003,-38158.125187000005,0.0,1.0
2,RegionA,103.95,0.165,14.796000000000001,395.664,410.46,554.121,650.0,554.121,0.0,95.87900000000002,0.0,0.0,0.0,0.0,0.8524938461538462
2,RegionB,112.8,0.19282051282051282,16.384,361.789333,378.173333,510.53399955000003,650.0,510.53399955000003,0.0,139.46600044999997,0.0,0.0,0.0,0.0,0.7854369223846155
2,RegionC,239.0,0.4425925925925926,36.8,357.1,393.90000000000003,543.582,650.0,543.582,0.0,106.418,0.0,0.0,0.0,0.0,0.83628
2,RegionD,53.0,0.036005434782608696,8.48,309.091667,317.571667,406.49173376,650.0,406.49173376,180.0,63.50826624000001,0.0,-180.0,-39292.2,0.0,0.9022949750153846
2,RegionE,18.699999999999978,0.018478260869565194,2.991999999999997,382.82,385.812,482.265,650.0,482.265,167.735,0.0,0.0,-167.735,-32357.758850000002,0.0,1.0
2,RegionF,0.0,0.0,0.0,319.95,319.95,406.3365,650.0,406.3365,220.0,23.6635,0.0,-220.0,-44675.4,0.0,0.9635946153846154
3,RegionA,107.0,0.16984126984126985,15.040000000000001,392.285,407.32500000000005,549.8887500000001,722.35,549.8887500000001,0.0,172.46124999999995,0.0,0.0,0.0,0.0,0.7612497404305393
3,RegionB,114.13333333333334,0.1950997150997151,16.490666666666666,363.532,380.0226666666666,513.0305999999999,722.35,513.0305999999999,0.0,209.3194000000001,0.0,0.0,0.0,0.0,0.7102244064511662
3,RegionC,251.0,0.4648148148148148,37.76,357.1,394.86,544.9068,722.35,544.9068,0.0,177.44320000000005,0.0,0.0,0.0,0.0,0.7543528760296254
3,RegionD,53.0,0.036005434782608696,8.48,310.994333,319.474333,408.92714624,722.35,408.92714624,180.0,133.42285376,0.0,-180.0,-39319.2,0.0,0.8152933428947186
3,RegionE,9.0,0.008893280632411068,0.9,390.24,391.14,488.92499999999995,722.35,488.92499999999995,220.0,13.425000000000068,0.0,-220.0,-42466.6,0.0,0.9814148266076002
3,RegionF,0.0,0.0,0.0,331.53,331.53,421.0431,722.35,421.0431,220.0,81.30690000000004,0.0,-220.0,-44704.0,0.0,0.8874411296462933
4,RegionA,117.5,0.1865079365079365,15.88,390.553333,406.433333,548.68499955,800.0,548.68499955,0.0,251.31500044999996,0.0,0.0,0.0,0.0,0.6858562494375
4,RegionB,113.0,0.19316239316239317,16.400000000000002,364.354667,380.754667,514.01880045,800.0,514.01880045,0.0,285.98119955000004,0.0,0.0,0.0,0.0,0.6425235005625
4,RegionC,254.9,0.47203703703703703,38.072,355.5,393.572,543.1293599999999,800.0,543.1293599999999,0.0,256.8706400000001,0.0,0.0,0.0,0.0,0.6789116999999999
4,RegionD,46.83333333333336,0.031816123188405813,7.493333333333338,357.345667,364.83900033333333,466.99392042666665,800.0,466.99392042666665,180.0,153.00607957333335,0.0,-180.0,-39344.4,0.0,0.8087424005333332
4,RegionE,9.0,0.008893280632411068,0.9,376.258333,377.15833299999997,471.44791624999993,800.0,471.44791624999993,220.0,108.55208375000007,0.0,-220.0,-42495.2,0.0,0.8643098953124999
4,RegionF,0.0,0.0,0.0,339.75,339.75,431.4825,800.0,431.4825,220.0,148.51749999999998,0.0,-220.0,-44732.600000000006,0.0,0.8143531250000001
5,RegionA,85.85000000000002,0.13626984126984132,8.756000000000004,390.19,398.946,538.5771000000001,877.65,538.5771000000001,0.0,339.0728999999999,0.0,0.0,0.0,0.0,0.6136581780892156
5,RegionB,110.05000000000004,0.1881196581196582,14.948000000000006,376.153333,391.10133299999995,527.98679955,877.65,527.98679955,0.0,349.66320045,0.0,0.0,0.0,0.0,0.6015915223038797
5,RegionC,238.86666666666665,0.4423456790123456,35.33866666666666,362.527333,397.86599966666665,549.05507954,877.65,549.05507954,0.0,328.59492046,0.0,0.0,0.0,0.0,0.6255968547142938
5,RegionD,77.53333333333335,0.05267210144927537,10.785333333333334,359.761333,370.5466663333333,474.29973290666663,877.65,474.29973290666663,180.0,223.35026709333334,0.0,-180.0,-39369.6,0.0,0.7455132830931084
5,RegionE,12.0,0.011857707509881422,1.1400000000000001,402.854,403.99399999999997,504.99249999999995,877.65,504.99249999999995,220.0,152.65750000000003,0.0,-220.0,-42521.6,0.0,0.8260610721813935
5,RegionF,18.0,0.018633540372670808,2.88,374.923333,377.803333,479.81023291,877.65,479.81023291,220.0,177.83976708999995,0.0,-220.0,-44761.200000000004,0.0,0.7973682366660969
6,RegionA,66.38333333333333,0.10537037037037036,5.924,392.482667,398.40666699999997,537.84900045,950.0,537.84900045,0.0,412.15099955000005,0.0,0.0,0.0,0.0,0.5661568425789473
6,RegionB,134.06666666666666,0.22917378917378917,17.01733333333333,379.895,396.9123333333333,535.83165,950.0,535.83165,0.0,414.16835000000003,0.0,0.0,0.0,0.0,0.5640333157894737
6,RegionC,239.15,0.44287037037037036,34.572,356.012,390.584,539.00592,950.0,539.00592,0.0,410.99408000000005,0.0,0.0,0.0,0.0,0.5673746526315789
6,RegionD,42.0,0.028532608695652172,5.1,376.36,381.46000000000004,488.26880000000006,950.0,488.26880000000006,180.0,281.73119999999994,0.0,-180.0,-39394.8,0.0,0.7034408421052633
6,RegionE,12.0,0.011857707509881422,1.1400000000000001,438.076667,439.216667,549.02083375,950.0,549.02083375,220.0,180.97916625000005,0.0,-220.0,-42550.2,0.0,0.8094956144736841
6,RegionF,18.0,0.018633540372670808,2.88,408.834667,411.714667,522.87762709,950.0,522.87762709,220.0,207.12237290999997,0.0,-220.0,-44789.8,0.0,0.781976449568421
7,RegionA,139.01666666666665,0.22066137566137564,19.001333333333335,391.310667,410.31200033333334,553.92120045,1012.13,553.92120045,0.0,458.20879955,0.0,0.0,0.0,0.0,0.547282661762817
7,RegionB,124.41666666666666,0.21267806267806266,15.993333333333334,378.021333,394.01466633333337,531.9197995500001,1012.13,531.9197995500001,0.0,480.2102004499999,0.0,0.0,0.0,0.0,0.5255449394346577
7,RegionC,234.0,0.43333333333333335,34.160000000000004,352.289333,386.449333,533.30007954,1012.13,533.30007954,0.0,478.82992046000004,0.0,0.0,0.0,0.0,0.5269086772845385
7,RegionD,117.8,0.08002717391304348,18.749000000000002,367.372333,386.12133300000005,494.23530624000006,1012.13,494.23530624000006,180.0,337.8946937599999,0.0,-180.0,-60645.600000000006,0.0,0.6661548479345538
7,RegionE,23.0,0.022727272727272728,2.24,428.322667,430.56266700000003,538.2033337500001,1012.13,538.2033337500001,220.0,253.92666624999993,0.0,-220.0,-65502.8,0.0,0.7491165499985181
7,RegionF,18.0,0.018633540372670808,2.88,371.44,374.32,475.3864,1012.13,475.3864,220.0,316.7436,0.0,-220.0,-68950.20000000001,0.0,0.6870524537361801
8,RegionA,261.0,0.4142857142857143,37.8,379.82,417.62,563.787,1059.81,563.787,0.0,496.0229999999999,0.0,0.0,0.0,0.0,0.5319698813938348
8,RegionB,127.36666666666667,0.21772079772079772,16.229333333333333,377.305333,393.53466633333335,531.2717995500001,1059.81,531.2717995500001,0.0,528.5382004499999,0.0,0.0,0.0,0.0,0.5012896647040508
8,RegionC,236.11666666666667,0.4372530864197531,34.14533333333334,351.746667,385.8920003333333,532.53096046,1059.81,532.53096046,0.0,527.27903954,0.0,0.0,0.0,0.0,0.5024777653164246
8,RegionD,123.0,0.08355978260869565,18.36,363.737333,382.097333,489.08458624,1059.81,489.08458624,180.0,390.7254137599999,0.0,-180.0,-60683.4,0.0,0.6313250358460479
8,RegionE,16.8,0.016600790513833993,1.5770000000000002,394.935667,396.512667,495.64083375,1059.81,495.64083375,220.0,344.16916625,0.0,-220.0,-65544.6,0.0,0.6752538981043772
8,RegionF,41.70000000000002,0.04316770186335406,6.672000000000002,349.92,356.59200000000004,452.8718400000001,1059.81,452.8718400000001,220.0,386.9381599999999,0.0,-220.0,-68994.2,0.0,0.6348985572885707
9,RegionA,261.0,0.4142857142857143,37.8,381.911333,419.711333,566.61029955,1089.78,566.61029955,0.0,523.1697004499999,0.0,0.0,0.0,0.0,0.5199309030721797
