Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
0,RegionA,21.0,0.03333333333333333,2.04,367.981667,370.02166700000004,499.52925045000006,540.19,499.52925045000006,0.0,40.66074954999999,0.0,0.0,0.0,0.0,0.9247287999592736
0,RegionB,66.0,0.11282051282051282,10.16,325.436667,335.596667,453.05550045000007,540.19,453.05550045000007,0.0,87.13449954999999,0.0,0.0,0.0,0.0,0.8386965705585072
0,RegionC,341.1333333333333,0.6317283950617284,53.29066666666667,337.659333,390.94999966666666,539.51099954,540.19,539.51099954,0.0,0.6790004600001112,0.0,0.0,0.0,0.0,0.9987430340065531
0,RegionD,0.0,0.0,0.0,296.44,296.44,379.4432,540.19,379.4432,160.74680000000006,0.0,0.0,-160.74680000000006,-35044.40986800001,0.0,1.0
0,RegionE,0.0,0.0,0.0,346.67,346.67,433.33750000000003,540.19,433.33750000000003,106.85250000000002,0.0,0.0,-106.85250000000002,-20586.202650000003,0.0,1.0
0,RegionF,0.0,0.0,0.0,358.41,358.41,455.18070000000006,540.19,455.18070000000006,85.0093,0.0,0.0,-85.0093,-17239.88604,0.0,1.0
1,RegionA,16.666666666666668,0.026455026455026457,1.606666666666667,393.03,394.63666666666666,532.7595,587.87,532.7595,0.0,55.1105,0.0,0.0,0.0,0.0,0.9062539336928233
1,RegionB,36.89999999999999,0.06307692307692306,5.229333333333333,381.385333,386.61466633333333,521.92979955,587.87,521.92979955,0.0,65.94020045000002,0.0,0.0,0.0,0.0,0.8878320029088064
1,RegionC,307.26666666666665,0.5690123456790123,46.96533333333333,357.876,404.8413333333333,558.6810399999999,587.87,558.6810399999999,0.0,29.188960000000066,0.0,0.0,0.0,0.0,0.9503479340670555
1,RegionD,2.5999999999999996,0.0017663043478260867,0.20799999999999996,304.584,304.79200000000003,390.13376000000005,587.87,390.13376000000005,180.0,17.736239999999952,0.0,-180.0,-39267.0,0.0,0.9698296562165105
1,RegionE,0.0,0.0,0.0,382.138333,382.138333,477.67291624999996,587.87,477.67291624999996,110.19708375000005,0.0,0.0,-110.19708375000005,-21243.79380532501,0.0,1.0
1,RegionF,0.0,0.0,0.0,314.83,314.83,399.8341,587.87,399.8341,188.03590000000003,0.0,0.0,-188.03590000000003,-38158.125187000005,0.0,1.0
2,RegionA,13.333333333333329,0.021164021164021156,1.2743333333333329,395.664,396.93833333333333,535.86675,650.0,535.86675,0.0,114.13324999999998,0.0,0.0,0.0,0.0,0.8244103846153846
2,RegionB,16.8,0.028717948717948718,1.344,361.789333,363.133333,490.22999955,650.0,490.22999955,0.0,159.77000045,0.0,0.0,0.0,0.0,0.7541999993076923
2,RegionC,323.1666666666667,0.5984567901234569,45.766666666666666,357.1,402.8666666666667,555.956,650.0,555.956,0.0,94.04399999999998,0.0,0.0,0.0,0.0,0.8553169230769231
2,RegionD,0.0,0.0,0.0,309.091667,309.091667,395.63733376,650.0,395.63733376,180.0,74.36266624000001,0.0,-180.0,-39292.2,0.0,0.8855958980923078
2,RegionE,0.0,0.0,0.0,382.82,382.82,478.525,650.0,478.525,171.47500000000002,0.0,0.0,-171.47500000000002,-33079.24225,0.0,1.0
2,RegionF,0.0,0.0,0.0,319.95,319.95,406.3365,650.0,406.3365,220.0,23.6635,0.0,-220.0,-44675.4,0.0,0.9635946153846154
3,RegionA,77.75,0.12341269841269842,12.155,392.285,404.44,545.994,722.35,545.994,0.0,176.356,0.0,0.0,0.0,0.0,0.755857963591057
3,RegionB,102.13333333333334,0.1745868945868946,15.610666666666667,363.532,379.1426666666666,511.8426,722.35,511.8426,0.0,210.50740000000002,0.0,0.0,0.0,0.0,0.7085797743476154
3,RegionC,337.0333333333333,0.6241358024691357,45.82533333333333,357.1,402.92533333333336,556.03696,722.35,556.03696,0.0,166.31304,0.0,0.0,0.0,0.0,0.769761140721257
3,RegionD,0.0,0.0,0.0,310.994333,310.994333,398.07274624,722.35,398.07274624,180.0,144.27725376,0.0,-180.0,-39319.2,0.0,0.8002668322004568
3,RegionE,0.0,0.0,0.0,390.24,390.24,487.8,722.35,487.8,220.0,14.550000000000011,0.0,-220.0,-42466.6,0.0,0.9798574098428738
3,RegionF,0.0,0.0,0.0,331.53,331.53,421.0431,722.35,421.0431,220.0,81.30690000000004,0.0,-220.0,-44704.0,0.0,0.8874411296462933
4,RegionA,77.0,0.12222222222222222,12.0,390.553333,402.553333,543.4469995500001,800.0,543.4469995500001,0.0,256.5530004499999,0.0,0.0,0.0,0.0,0.6793087494375001
4,RegionB,109.9,0.18786324786324787,16.432000000000002,364.354667,380.786667,514.06200045,800.0,514.06200045,0.0,285.93799955,0.0,0.0,0.0,0.0,0.6425775005625001
4,RegionC,350.7166666666667,0.6494753086419753,47.731666666666676,355.5,403.2316666666667,556.4597,800.0,556.4597,0.0,243.5403,0.0,0.0,0.0,0.0,0.695574625
4,RegionD,7.283333333333341,0.004947916666666672,0.7283333333333342,357.345667,358.07400033333334,458.3347204266667,800.0,458.3347204266667,180.0,161.6652795733333,0.0,-180.0,-39344.4,0.0,0.7979184005333334
4,RegionE,0.0,0.0,0.0,376.258333,376.258333,470.32291625,800.0,470.32291625,220.0,109.67708375000001,0.0,-220.0,-42495.2,0.0,0.8629036453125
4,RegionF,0.0,0.0,0.0,339.75,339.75,431.4825,800.0,431.4825,220.0,148.51749999999998,0.0,-220.0,-44732.600000000006,0.0,0.8143531250000001
5,RegionA,47.58333333333338,0.0755291005291006,7.21333333333334,390.19,397.40333333333336,536.4945000000001,877.65,536.4945000000001,0.0,341.15549999999985,0.0,0.0,0.0,0.0,0.6112852503845498
5,RegionB,110.0,0.18803418803418803,16.44,376.153333,392.593333,530.00099955,877.65,530.00099955,0.0,347.64900045,0.0,0.0,0.0,0.0,0.6038865146128867
5,RegionC,313.05,0.5797222222222222,40.004000000000005,362.527333,402.531333,555.49323954,877.65,555.49323954,0.0,322.15676046,0.0,0.0,0.0,0.0,0.6329325352247479
5,RegionD,3.0,0.0020380434782608695,0.24,359.761333,360.001333,460.80170624,877.65,460.80170624,180.0,236.84829376,0.0,-180.0,-39369.6,0.0,0.7301335455363754
5,RegionE,3.0,0.0029644268774703555,0.24,402.854,403.094,503.8675,877.65,503.8675,220.0,153.78249999999997,0.0,-220.0,-42521.6,0.0,0.8247792400159518
5,RegionF,0.0,0.0,0.0,374.923333,374.923333,476.15263291,877.65,476.15263291,220.0,181.49736708999995,0.0,-220.0,-44761.200000000004,0.0,0.7932007439298125
6,RegionA,103.03333333333333,0.16354497354497355,15.602666666666668,392.482667,408.08533366666666,550.91520045,950.0,550.91520045,0.0,399.08479954999996,0.0,0.0,0.0,0.0,0.5799107373157896
