TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionE,2394,2398.0,5.0,-1478.715415019763,0.0,0.0,15.2
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionE,2399,2402.0,5.0,-582.1903820816864,0.0,0.0,6.0
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionC,2390,2391.75,14.0,-309.743209876543,0.0,0.0,4.3469999999999995
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionB,2398,2402.9166666666665,5.0,-345.1987179487055,0.0,0.0,3.9824999999998782
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,0.7671277997359999,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionA,2398,2399.45,5.0,-227.52896825392293,0.0,0.0,3.327749999999583
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionD,2397,2399.116666666667,5.0,-338.64902173915044,0.0,0.0,3.5221333333335356
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionA,2388,2391.9166666666665,5.0,-532.7407407407163,0.0,0.0,6.3449999999997555
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionF,2397,2398.75,5.0,-360.8399068323018,0.0,0.0,4.667250000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2395,2400.65,76.0,-13898.309333333562,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-39.51481481481641,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionB,2390,2393.0333333333333,5.0,-383.2176638176567,0.0,0.0,4.913999999999952
