TaskID,TaskType,ArrivalHour,SourceRegion,MaxLatency_ms,GPU_Demand,DurationHours,LatestFinishHour,Status,AssignedRegion,StartHour,FinishHour,NetworkLatency_ms,ObjectiveScore,EstimatedCost_CNY,EstimatedCarbon_tCO2,EstimatedRenewableUsed_MWh
56,AITraining,2394,RegionE,150.0,19.0,4.0,2406.0,scheduled,RegionE,2394,2398.0,5.0,-854.205533596838,0.0,0.0,15.2
57,BatchInference,2390,RegionE,80.0,16.0,3.0,2406.0,scheduled,RegionE,2390,2393.0,5.0,-344.6521739130439,0.0,0.0,6.0
165,BatchInference,2390,RegionB,80.0,18.0,1.75,2406.0,scheduled,RegionE,2390,2391.75,74.0,-150.45948616600845,0.0,0.0,3.9375
205,BatchInference,2385,RegionB,80.0,6.0,4.916666666666667,2406.0,scheduled,RegionB,2388,2392.9166666666665,5.0,-170.20299145298205,0.0,0.0,3.9824999999998782
235,RealTimeInference,2378,RegionE,20.0,2.0,0.4666666666666667,2379.0,scheduled,RegionE,2378,2378.4666666666667,5.0,-0.4794466403164363,0.0,0.0,0.0933333333333394
315,BatchInference,2392,RegionA,80.0,17.0,1.45,2406.0,scheduled,RegionA,2398,2399.45,5.0,-95.63960317457956,0.0,0.0,3.327749999999583
403,BatchInference,2382,RegionD,80.0,13.0,2.1166666666666667,2406.0,scheduled,RegionD,2382,2384.116666666667,5.0,-202.97745652175132,0.0,0.0,3.5221333333335356
583,BatchInference,2388,RegionA,80.0,12.0,3.9166666666666665,2406.0,scheduled,RegionA,2388,2391.9166666666665,5.0,-274.6238095237925,0.0,0.0,6.3449999999997555
701,BatchInference,2397,RegionF,80.0,21.0,1.75,2406.0,scheduled,RegionF,2397,2398.75,5.0,-166.46978260869577,0.0,0.0,4.667250000000001
1055,AITraining,2378,RegionF,150.0,113.0,5.65,2406.0,scheduled,RegionC,2395,2400.65,76.0,-8326.185600000137,0.0,0.0,140.96976000000228
1096,RealTimeInference,2389,RegionA,20.0,1.0,4.833333333333333,2394.0,scheduled,RegionA,2389,2393.8333333333335,5.0,-23.09777777777871,0.0,0.0,0.5220000000000165
1136,BatchInference,2390,RegionB,80.0,12.0,3.033333333333333,2406.0,scheduled,RegionB,2398,2401.0333333333333,5.0,-200.07589743589705,0.0,0.0,4.913999999999952
1234,BatchInference,2385,RegionB,80.0,9.0,5.566666666666666,2406.0,scheduled,RegionB,2397,2402.5666666666666,5.0,-363.3535897435879,0.0,0.0,6.763499999999927
1264,AITraining,2388,RegionF,150.0,113.0,4.7,2406.0,scheduled,RegionD,2397,2401.7,25.0,-6453.761419564966,0.0,0.0,108.7692799999958
1371,AITraining,2392,RegionC,150.0,18.0,5.583333333333333,2406.0,scheduled,RegionB,2395,2400.5833333333335,14.0,-1170.8526495726803,0.0,0.0,21.708000000000588
1455,AITraining,2399,RegionF,150.0,37.0,2.7333333333333334,2406.0,scheduled,RegionF,2399,2401.733333333333,5.0,5352.833602318937,1954.7839999999999,2.10590384,13.031893333331737
1540,AITraining,2377,RegionF,150.0,98.0,4.866666666666666,2406.0,scheduled,RegionC,2388,2392.866666666667,76.0,-6142.953540740897,0.0,0.0,105.30688000000261
1664,BatchInference,2383,RegionE,80.0,14.0,2.183333333333333,2406.0,scheduled,RegionE,2385,2387.1833333333334,5.0,-220.57411067194315,0.0,0.0,3.82083333333344
1843,RealTimeInference,2394,RegionA,20.0,1.0,0.8166666666666667,2395.0,scheduled,RegionA,2394,2394.8166666666666,5.0,6.250857142857517,0.0,0.0,0.08819999999999346
2055,AITraining,2386,RegionD,150.0,116.0,2.6666666666666665,2406.0,scheduled,RegionA,2392,2394.6666666666665,65.0,-3852.0869841267613,0.0,0.0,66.81599999999621
2167,AITraining,2390,RegionD,150.0,57.0,4.15,2406.0,scheduled,RegionD,2395,2399.15,5.0,-2851.6312913044108,0.0,0.0,48.44544000000107
2374,BatchInference,2387,RegionA,80.0,7.0,0.65,2406.0,scheduled,RegionA,2387,2387.65,5.0,24.595793650789467,0.0,0.0,0.614250000000086
2412,RealTimeInference,2392,RegionC,20.0,2.0,4.266666666666667,2397.0,scheduled,RegionC,2392,2396.266666666667,5.0,-47.565540740743565,0.0,0.0,0.9420800000000469
2473,AITraining,2398,RegionC,150.0,16.0,5.833333333333333,2406.0,scheduled,RegionD,2398,2403.8333333333335,58.0,-1003.1558152174185,0.0,0.0,19.114666666667162
2508,RealTimeInference,2378,RegionB,20.0,1.0,4.65,2383.0,scheduled,RegionB,2378,2382.65,5.0,-23.30635897435964,0.0,0.0,0.5022000000000099
2517,AITraining,2392,RegionF,150.0,30.0,2.7333333333333334,2406.0,scheduled,RegionF,2398,2400.733333333333,5.0,-968.1208115941268,0.0,0.0,16.662399999998705
2648,BatchInference,2397,RegionE,80.0,19.0,3.183333333333333,2406.0,scheduled,RegionE,2397,2400.1833333333334,5.0,-8.483143939287459,107.54791666670225,0.10319375000003414,7.125
2763,BatchInference,2379,RegionB,80.0,15.0,3.75,2406.0,scheduled,RegionA,2394,2397.75,12.0,-433.52023809523814,0.0,0.0,7.593750000000001
3113,BatchInference,2387,RegionD,80.0,15.0,6.233333333333333,2406.0,scheduled,RegionD,2399,2405.233333333333,5.0,-709.9047282608449,0.0,0.0,11.967999999999591
3444,RealTimeInference,2378,RegionA,20.0,7.0,1.7166666666666666,2380.0,scheduled,RegionA,2378,2379.7166666666667,5.0,-67.39180952381082,0.0,0.0,1.2978000000000232
3455,RealTimeInference,2386,RegionC,20.0,1.0,2.8666666666666667,2389.0,scheduled,RegionC,2386,2388.866666666667,5.0,-11.848059259259681,0.0,0.0,0.31648000000001336
3498,RealTimeInference,2376,RegionB,20.0,2.0,1.1833333333333333,2378.0,scheduled,RegionB,2376,2377.1833333333334,5.0,-9.925743589744378,0.0,0.0,0.25560000000001315
3566,BatchInference,2392,RegionE,80.0,9.0,0.9,2406.0,scheduled,RegionE,2395,2395.9,5.0,-42.483201581033825,0.0,0.0,1.0125000000001023
3736,BatchInference,2396,RegionD,80.0,19.0,6.6,2406.0,scheduled,RegionE,2397,2403.6,22.0,-898.3003952569035,0.0,0.0,15.674999999999784
3782,AITraining,2390,RegionE,150.0,89.0,5.766666666666667,2406.0,scheduled,RegionD,2393,2398.766666666667,22.0,-6250.882939130665,0.0,0.0,105.11018666667053
3809,AITraining,2376,RegionF,150.0,32.0,1.6333333333333333,2406.0,scheduled,RegionF,2376,2377.633333333333,5.0,-628.2600447204496,0.0,0.0,10.62058666666588
3928,BatchInference,2397,RegionF,80.0,4.0,3.033333333333333,2406.0,scheduled,RegionF,2397,2400.0333333333333,5.0,26.640451097296193,4.402666666662663,0.004743026666662354,1.524
3948,RealTimeInference,2382,RegionF,20.0,1.0,5.5,2388.0,scheduled,RegionF,2382,2387.5,5.0,-28.403776397515525,0.0,0.0,0.5588
4060,BatchInference,2383,RegionA,80.0,8.0,2.8,2406.0,scheduled,RegionC,2383,2385.8,15.0,-117.54237037038189,0.0,0.0,3.0912000000002005
4113,BatchInference,2391,RegionA,80.0,15.0,4.2,2406.0,scheduled,RegionC,2391,2395.2,15.0,-387.5511111110869,0.0,0.0,8.693999999999622
4202,AITraining,2377,RegionE,150.0,94.0,4.666666666666667,2406.0,scheduled,RegionC,2392,2396.6666666666665,70.0,-5623.722666666477,0.0,0.0,96.85759999999685
4316,RealTimeInference,2377,RegionA,20.0,5.0,4.366666666666666,2382.0,scheduled,RegionA,2377,2381.366666666667,5.0,-134.95619047619442,0.0,0.0,2.358000000000066
4353,AITraining,2398,RegionE,150.0,21.0,3.7,2406.0,scheduled,RegionF,2399,2402.7,18.0,2841.036965962779,1109.472,1.19524272,11.521439999999224
4354,RealTimeInference,2390,RegionC,20.0,4.0,5.95,2396.0,scheduled,RegionC,2390,2395.95,5.0,-147.19194074073573,0.0,0.0,2.6275199999999197
4418,BatchInference,2398,RegionD,80.0,11.0,4.233333333333333,2406.0,scheduled,RegionE,2398,2402.233333333333,22.0,849.0271739130624,339.625,0.32587499999999997,4.4458333333330415
