Hour,Region,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2
2376,RegionA,437.184,540.19,52.4621,55.0,0.0,432.7279,402.7219,402.7219,190269.988874,274.85769675
2376,RegionB,477.1575,540.19,71.5736,49.5,0.0,419.1164,421.7839,421.7839,190971.096403,269.26684176
2376,RegionC,499.698,540.19,89.9456,46.75,0.0,403.4944,425.0524,425.0524,186874.28765999997,257.32672296
2376,RegionD,461.5168,540.19,168.001,74.4378,163.7632,133.988,355.9158,192.1526,64384.197072,164.53987433999998
2376,RegionE,434.35,540.19,238.8925,60.2595,132.5709,108.4671,253.0575,120.4866,37316.173284000004,61.2905265
2376,RegionF,430.1109,540.19,263.2113,55.3957,121.8706,99.7123,226.8996,105.029,34606.03907,64.93866552
2377,RegionA,514.4715,587.87,61.7366,55.0,0.0,471.1334,470.7349,470.7349,222497.557834,322.26511253999996
2377,RegionB,510.732,587.87,76.6098,49.5,0.0,461.7602,450.3222,450.3222,203982.446934,288.38633688
2377,RegionC,481.7028,587.87,86.7065,46.75,0.0,454.4135,410.2963,410.2963,180464.72459199998,249.17294298999997
2377,RegionD,481.0752,587.87,173.6788,82.8382,180.0,151.3529,369.7964,189.7964,64753.72779199998,171.47459068
2377,RegionE,487.9625,587.87,268.3794,63.8981,140.5759,115.0166,277.1831,136.6072,41792.837504,67.32777499000001
2377,RegionF,473.1258,587.87,292.3707,59.0999,130.0197,106.3797,240.7551,110.7354,36589.246755,69.12078921
2378,RegionA,540.297,650.0,64.8356,0.0,0.0,585.1644,483.2907,483.2907,228528.840402,330.23253531
2378,RegionB,531.36,650.0,79.704,0.0,0.0,570.296,457.932,457.932,207511.8858,292.7101344
2378,RegionC,536.544,650.0,96.5779,0.0,0.0,553.4221,445.8934,445.8934,196202.01386799998,270.25598973999996
2378,RegionD,524.416,650.0,188.7898,92.242,180.0,188.9682,398.0262,218.0262,72753.99888,184.24632798
2378,RegionE,507.3375,650.0,279.0356,74.1929,163.2243,133.5472,285.9019,122.6775,39576.435926,69.33121075
2378,RegionF,520.1158,650.0,322.4718,65.5056,144.1124,117.9102,257.644,113.5316,38153.006916,73.815006
2379,RegionA,544.32,722.35,65.3184,0.0,0.0,657.0316,479.0016,479.0016,226586.916864,325.09838592
2379,RegionB,531.36,722.35,79.704,0.0,0.0,642.646,451.656,451.656,204749.21448,286.75639440000003
2379,RegionC,536.544,722.35,96.5779,0.0,0.0,625.7721,439.9661,439.9661,193668.677559,264.90358881
2379,RegionD,582.2592,722.35,210.2085,102.4283,180.0,229.7132,434.4507,254.4507,83071.86725699999,199.76043185999998
2379,RegionE,531.8125,722.35,292.4969,85.9706,189.1354,154.7471,296.9156,107.7802,37297.61225399999,71.49727648
2379,RegionF,540.131,722.35,333.7769,77.7146,170.9721,139.8863,266.3541,95.3819,34951.996422000004,75.80437686
2380,RegionA,544.32,800.0,65.3184,0.0,0.0,734.6816,479.0016,479.0016,226673.137152,321.50587392
2380,RegionB,531.36,800.0,79.704,0.0,0.0,720.296,451.656,451.656,204825.996,283.5948024
2380,RegionC,536.544,800.0,96.5779,0.0,0.0,703.4221,439.9661,439.9661,193743.471796,261.95581594
2380,RegionD,593.6512,800.0,216.1005,51.6462,180.0,352.2533,439.9507,259.9507,84659.666834,200.04558329
2380,RegionE,580.8875,800.0,319.4881,83.5354,218.3371,178.6394,318.9994,100.6623,37139.039693,75.98565708
2380,RegionF,557.1109,800.0,340.9304,91.8139,201.9906,165.265,276.1805,74.1899,31187.661013999998,77.74481074999998
2381,RegionA,544.32,877.65,65.3184,0.0,0.0,812.3316,479.0016,479.0016,226754.56742399998,316.71585792
2381,RegionB,531.36,877.65,79.704,0.0,0.0,797.946,451.656,451.656,204902.77752,279.39440160000004
2381,RegionC,536.544,877.65,96.5779,0.0,0.0,781.0721,439.9661,439.9661,193813.866372,258.08411426
2381,RegionD,606.3616,877.65,223.6182,0.0,180.0,474.0318,382.7434,202.7434,68515.61404800002,171.43076886
2381,RegionE,559.025,877.65,307.4638,0.0,220.0,350.1862,251.5612,31.5612,19978.965820000005,59.01625752
2381,RegionF,578.5231,877.65,348.5176,0.0,220.0,309.1324,244.898,24.898,19277.374000000003,67.9102154
2382,RegionA,544.32,950.0,65.3184,0.0,0.0,884.6816,479.0016,479.0016,226831.20768,311.15943935999996
2382,RegionB,531.36,950.0,79.704,0.0,0.0,870.296,451.656,451.656,204970.52592,274.4713512
2382,RegionC,536.544,950.0,96.5779,0.0,0.0,853.4221,439.9661,439.9661,193879.861287,253.55246343000002
2382,RegionD,568.0512,950.0,213.0192,0.0,180.0,556.9808,355.032,175.032,60702.15023999999,156.21408
2382,RegionE,590.3875,950.0,324.7131,0.0,220.0,405.2869,265.6744,45.6744,23511.002792,61.2379492
2382,RegionF,591.6422,950.0,349.0689,0.0,220.0,380.9311,242.5733,22.5733,18672.409496999986,66.07696691999999
2383,RegionA,544.32,1012.13,65.3184,0.0,0.0,946.8116,479.0016,479.0016,349086.786048,305.1240192
2383,RegionB,531.36,1012.13,79.704,0.0,0.0,932.426,451.656,451.656,315441.06695999997,269.1418104
2383,RegionC,536.544,1012.13,96.5779,0.0,0.0,915.5521,439.9661,439.9661,298371.810037,248.62484311
