Hour,Region,Load_MW,AvailableRenewable_MW,ElectricityPrice,SellPrice,CarbonIntensity,GridPurchase_MW,GridSell_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW,Curtailment_MW,Discharge_MW,SOC_MWh,NetGridImport_MW
0,RegionA,499.14900044995505,540.19,468.0,0.0,0.6679,0.0,0.0,413.58900044995505,0.0,0.0,126.600999550045,85.56,64.5,0.0
1,RegionA,535.4235,587.87,468.31,0.0,0.6703,0.0,0.0,535.4235,0.0,0.0,52.446500000000015,0.0,64.5,0.0
2,RegionA,544.32,650.0,468.61,0.0,0.6693,0.0,0.0,544.32,0.0,-0.0,105.67999999999995,0.0,64.5,0.0
3,RegionA,544.32,722.35,468.91,0.0,0.665,0.0,0.0,544.32,0.0,-0.0,178.02999999999997,0.0,64.5,0.0
4,RegionA,544.319999550045,800.0,469.22,0.0,0.6578,0.0,0.0,544.319999550045,0.0,-0.0,255.68000044995495,0.0,64.5,0.0
5,RegionA,544.32,877.65,469.52,0.0,0.6483,0.0,0.0,544.32,0.0,-0.0,333.3299999999999,0.0,64.5,0.0
6,RegionA,544.320000449955,950.0,469.82,0.0,0.637,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,64.5,0.0
7,RegionA,544.320000449955,1012.13,723.26,0.0,0.6248,0.0,0.0,544.320000449955,0.0,0.0,467.80999955004495,0.0,64.5,0.0
8,RegionA,544.32,1059.81,723.71,0.0,0.6126,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,64.5,0.0
9,RegionA,544.319999550045,1089.78,724.16,0.0,0.6013,0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,64.5,0.0
10,RegionA,531.7110004499551,1100.0,724.61,0.0,0.5917,0.0,0.0,531.7110004499551,0.0,0.0,568.2889995500449,0.0,64.5,0.0
11,RegionA,506.1015,1089.78,725.04,0.0,0.5845,0.0,0.0,506.1015,0.0,0.0,583.6785,0.0,64.5,0.0
12,RegionA,466.47899955004505,1059.81,725.48,0.0,0.5802,0.0,0.0,466.47899955004505,0.0,0.0,593.3310004499549,0.0,64.5,0.0
13,RegionA,443.66670000000005,1012.13,725.9,0.0,0.5791,0.0,0.0,443.66670000000005,0.0,0.0,568.4632999999999,0.0,64.5,0.0
14,RegionA,423.08729955004503,950.0,726.32,0.0,0.5814,0.0,0.0,423.08729955004503,0.0,0.0,526.912700449955,0.0,64.5,0.0
15,RegionA,379.06649999999996,877.65,726.74,0.0,0.5869,0.0,0.0,379.06649999999996,0.0,0.0,498.5835,0.0,64.5,0.0
16,RegionA,334.04399955004504,800.0,727.14,0.0,0.5954,0.0,0.0,334.04399955004504,0.0,0.0,465.95600044995496,0.0,64.5,0.0
17,RegionA,316.91249955004497,722.35,1054.92,0.0,0.6062,0.0,0.0,316.91249955004497,0.0,0.0,405.43750044995505,0.0,64.5,0.0
18,RegionA,299.443499550045,650.0,1055.49,0.0,0.6188,0.0,0.0,299.443499550045,0.0,0.0,350.556500449955,0.0,64.5,0.0
19,RegionA,386.49149955004503,587.87,1056.03,0.0,0.6321,0.0,0.0,386.49149955004503,0.0,-0.0,201.37850044995497,0.0,64.5,0.0
20,RegionA,330.884999550045,540.19,1056.56,0.0,0.6455,0.0,0.0,330.884999550045,0.0,-0.0,209.30500044995506,0.0,64.5,0.0
21,RegionA,376.12350000000004,510.22,1057.08,0.0,0.658,0.0,0.0,376.12350000000004,0.0,-0.0,134.0965,0.0,64.5,0.0
22,RegionA,388.00349955004503,500.0,656.43,0.0,0.6687,0.0,0.0,388.00349955004503,0.0,-0.0,111.99650044995497,0.0,64.5,0.0
23,RegionA,408.92849955004505,510.22,656.73,0.0,0.6771,0.0,0.0,408.92849955004505,0.0,-0.0,101.29150044995498,0.0,64.5,0.0
24,RegionA,478.15650044995505,540.19,474.52,0.0,0.6825,0.0,0.0,478.15650044995505,0.0,-0.0,62.03349955004501,0.0,64.5,0.0
25,RegionA,495.679499550045,587.87,474.72,0.0,0.6846,0.0,0.0,495.679499550045,0.0,-0.0,92.19050044995498,0.0,64.5,0.0
26,RegionA,544.320000449955,650.0,474.91,0.0,0.6833,0.0,0.0,544.320000449955,0.0,-0.0,105.67999955004495,0.0,64.5,0.0
27,RegionA,544.32,722.35,475.1,0.0,0.6787,0.0,0.0,544.32,0.0,-0.0,178.02999999999997,0.0,64.5,0.0
28,RegionA,544.32,800.0,475.28,0.0,0.6712,0.0,0.0,544.32,0.0,-0.0,255.67999999999995,0.0,64.5,0.0
29,RegionA,544.319999550045,877.65,475.45,0.0,0.6612,0.0,0.0,544.319999550045,0.0,-0.0,333.3300004499549,0.0,64.5,0.0
30,RegionA,544.320000449955,950.0,475.61,0.0,0.6496,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,64.5,0.0
31,RegionA,544.3199995500449,1012.13,731.94,0.0,0.637,0.0,0.0,544.3199995500449,0.0,0.0,467.81000044995506,0.0,64.5,0.0
32,RegionA,544.320000449955,1059.81,732.16,0.0,0.6245,0.0,0.0,544.320000449955,0.0,0.0,515.4899995500449,0.0,64.5,0.0
33,RegionA,544.32,1089.78,732.37,0.0,0.6128,0.0,0.0,544.32,0.0,0.0,545.4599999999999,0.0,64.5,0.0
34,RegionA,535.612499550045,1100.0,732.56,0.0,0.6027,0.0,0.0,535.612499550045,0.0,0.0,564.387500449955,0.0,64.5,0.0
35,RegionA,516.429000449955,1089.78,732.74,0.0,0.595,0.0,0.0,516.429000449955,0.0,0.0,573.350999550045,0.0,64.5,0.0
36,RegionA,464.1975,1059.81,732.9,0.0,0.5902,0.0,0.0,464.1975,0.0,0.0,595.6125,0.0,64.5,0.0
37,RegionA,439.10100044995505,1012.13,733.05,0.0,0.5887,0.0,0.0,439.10100044995505,0.0,0.0,573.028999550045,0.0,64.5,0.0
38,RegionA,422.42040000000003,950.0,733.18,0.0,0.5905,0.0,0.0,422.42040000000003,0.0,0.0,527.5796,0.0,64.5,0.0
39,RegionA,401.130900449955,877.65,733.3,0.0,0.5955,0.0,0.0,401.130900449955,0.0,0.0,476.519099550045,0.0,64.5,0.0
40,RegionA,375.205499550045,800.0,733.4,0.0,0.6035,0.0,0.0,375.205499550045,0.0,0.0,424.794500449955,0.0,64.5,0.0
41,RegionA,328.900500449955,722.35,1063.56,0.0,0.6138,0.0,0.0,328.900500449955,0.0,0.0,393.449499550045,0.0,64.5,0.0
42,RegionA,289.99350044995504,650.0,1063.67,0.0,0.6258,0.0,0.0,289.99350044995504,0.0,0.0,360.00649955004496,0.0,64.5,0.0
43,RegionA,297.324,587.87,1063.75,0.0,0.6386,0.0,0.0,297.324,0.0,0.0,290.546,0.0,64.5,0.0
44,RegionA,346.34250000000003,540.19,1063.82,0.0,0.6514,0.0,0.0,346.34250000000003,0.0,-0.0,193.84750000000003,0.0,64.5,0.0
45,RegionA,327.847500449955,510.22,1063.86,0.0,0.6633,0.0,0.0,327.847500449955,0.0,-0.0,182.372499550045,0.0,64.5,0.0
46,RegionA,416.92049955004507,500.0,660.34,0.0,0.6735,0.0,0.0,416.92049955004507,0.0,-0.0,83.07950044995493,0.0,64.5,0.0
47,RegionA,442.7460000000001,510.22,660.33,0.0,0.6812,0.0,0.0,442.7460000000001,0.0,-0.0,67.47399999999993,0.0,64.5,0.0
48,RegionA,472.041000449955,540.19,476.9,0.0,0.686,0.0,0.0,472.041000449955,0.0,-0.0,68.14899955004506,0.0,64.5,0.0
