Hour,Region,GridPurchase_MW,GridSell_MW,DirectRenewable_MW,RenewableCharge_MW,GridCharge_MW,Curtailment_MW,Discharge_MW,SOC_MWh,ElectricityPrice,SellPrice,CarbonIntensity,AvailableRenewable_MW,NetGridImport_MW
0,RegionA,0.0,-0.0,399.14900044995505,0.0,0.0,141.040999550045,100.0,48.80434782608697,468.0,0.0,0.6679,540.19,0.0
1,RegionA,-0.0,0.0,522.7235,0.0,0.0,65.14650000000006,12.700000000000012,35.0,468.31,0.0,0.6703,587.87,-0.0
2,RegionA,-0.0,0.0,544.32,-0.0,0.0,105.67999999999995,0.0,35.0,468.61,0.0,0.6693,650.0,-0.0
3,RegionA,-0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,35.0,468.91,0.0,0.665,722.35,-0.0
4,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,255.68000044995495,0.0,35.0,469.22,0.0,0.6578,800.0,-0.0
5,RegionA,-0.0,0.0,544.32,-0.0,0.0,333.3299999999999,0.0,35.0,469.52,0.0,0.6483,877.65,-0.0
6,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,35.0,469.82,0.0,0.637,950.0,-0.0
7,RegionA,-0.0,0.0,544.320000449955,0.0,0.0,467.80999955004495,0.0,35.0,723.26,0.0,0.6248,1012.13,-0.0
8,RegionA,-0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,35.0,723.71,0.0,0.6126,1059.81,-0.0
9,RegionA,-0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,35.0,724.16,0.0,0.6013,1089.78,-0.0
10,RegionA,-0.0,0.0,531.7110004499551,0.0,0.0,568.2889995500449,0.0,35.0,724.61,0.0,0.5917,1100.0,-0.0
11,RegionA,-0.0,0.0,506.1015,0.0,0.0,583.6785,0.0,35.0,725.04,0.0,0.5845,1089.78,-0.0
12,RegionA,-0.0,0.0,466.47899955004505,0.0,0.0,593.3310004499549,0.0,35.0,725.48,0.0,0.5802,1059.81,-0.0
13,RegionA,-0.0,0.0,443.66670000000005,-0.0,0.0,568.4632999999999,0.0,35.0,725.9,0.0,0.5791,1012.13,-0.0
14,RegionA,-0.0,0.0,423.08729955004503,-0.0,0.0,526.912700449955,0.0,35.0,726.32,0.0,0.5814,950.0,-0.0
15,RegionA,-0.0,0.0,379.06649999999996,0.0,0.0,498.5835,0.0,35.0,726.74,0.0,0.5869,877.65,-0.0
16,RegionA,-0.0,0.0,334.04399955004504,0.0,0.0,465.95600044995496,0.0,35.0,727.14,0.0,0.5954,800.0,-0.0
17,RegionA,-0.0,0.0,316.91249955004497,-0.0,0.0,405.43750044995505,0.0,35.0,1054.92,0.0,0.6062,722.35,-0.0
18,RegionA,-0.0,0.0,299.443499550045,-0.0,0.0,350.556500449955,0.0,35.0,1055.49,0.0,0.6188,650.0,-0.0
19,RegionA,-0.0,0.0,386.49149955004503,0.0,0.0,201.37850044995497,0.0,35.0,1056.03,0.0,0.6321,587.87,-0.0
