Hour,Region,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,GridPurchase_MW,GridSell_MW,NetGridImport_MW,Curtailment_MW,SOC_MWh,Cost_CNY,CarbonEmission_tCO2
0,RegionA,499.14900044995505,540.19,499.14900044995505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.040999550045,157.5,0.0,0.0
0,RegionB,458.74350044995504,540.19,458.74350044995504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44649955004502,144.0,0.0,0.0
0,RegionC,468.10979954004597,540.19,468.10979954004597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08020045995409,135.0,0.0,0.0
0,RegionD,443.3408,540.19,443.3408,0.0,0.0,0.0,0.0,0.0,96.84920000000005,-96.84920000000005,0.0,405.0,-21114.09409200001,0.0
0,RegionE,448.4125,540.19,448.4125,0.0,0.0,0.0,0.0,0.0,91.77750000000003,-91.77750000000003,0.0,370.0,-17681.853150000006,0.0
0,RegionF,478.75190000000003,540.19,478.75190000000003,0.0,0.0,0.0,0.0,0.0,61.43810000000002,-61.43810000000002,0.0,382.5,-12459.646680000005,0.0
1,RegionA,535.4235,587.87,535.4235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.446500000000015,157.5,0.0,0.0
1,RegionB,527.336999550045,587.87,527.336999550045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53300044995501,144.0,0.0,0.0
1,RegionC,536.5439999999999,587.87,536.5439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.326000000000136,135.0,0.0,0.0
1,RegionD,465.3568,587.87,465.3568,0.0,0.0,0.0,0.0,0.0,122.51319999999998,-122.51319999999998,0.0,405.0,-26726.254579999997,0.0
1,RegionE,497.237499583375,587.87,497.237499583375,0.0,0.0,0.0,0.0,0.0,90.63250041662502,-90.63250041662502,0.0,370.0,-17472.13343031697,0.0
1,RegionF,462.8261,587.87,462.8261,0.0,0.0,0.0,0.0,0.0,125.04390000000001,-125.04390000000001,0.0,382.5,-25375.158627,0.0
2,RegionA,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.67999999999995,157.5,0.0,0.0
2,RegionB,531.359999550045,650.0,531.359999550045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.64000044995498,144.0,0.0,0.0
2,RegionC,536.544,650.0,536.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.45600000000002,135.0,0.0,0.0
2,RegionD,526.208000426624,650.0,526.208000426624,0.0,0.0,0.0,0.0,0.0,123.79199957337596,-123.79199957337596,0.0,405.0,-27022.555586872237,0.0
2,RegionE,503.4,650.0,503.4,0.0,0.0,0.0,0.0,0.0,146.60000000000002,-146.60000000000002,0.0,370.0,-28280.606000000003,0.0
2,RegionF,508.74929999999995,650.0,508.74929999999995,0.0,0.0,0.0,0.0,0.0,141.25070000000005,-141.25070000000005,0.0,382.5,-28683.77964900001,0.0
3,RegionA,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0
