scenario,scenario_label,region,cost_cny,carbon_tco2,peak_net_mw,net_std_mw,net_mad_mw,net_range_mw,renewable_util,curtailment_mwh,charge_mwh,discharge_mwh,purchase_mwh,export_mwh,final_soc_mwh
baseline,附件基线,RegionA,623022579.3387,581269.7001,497.0016,96.7995,84.3107,497.0016,0.0864,1758755.4979,26350.3504,22500.0,934071.2843,0.0,206.8041
baseline,附件基线,RegionB,572115791.7146,519698.5515,467.856,88.8141,76.9832,467.856,0.1013,1730193.7742,23719.1713,20250.0,892863.0277,0.0,191.9613
baseline,附件基线,RegionC,546362199.9131,483818.0968,455.2661,85.0435,73.7816,455.2661,0.1194,1695213.031,22400.1221,19125.0,876739.1804,0.0,179.0746
baseline,附件基线,RegionD,85926414.1303,262960.6536,282.5815,135.1128,108.341,462.5815,0.4706,1019254.8228,85979.7622,75330.0,619919.8009,427406.2663,225.9765
baseline,附件基线,RegionE,-25892946.1616,84555.5905,166.0604,116.2215,101.4803,386.0604,0.61,750809.6857,76192.6011,66748.6942,377288.1043,479852.15,217.2489
baseline,附件基线,RegionF,126098.9567,113064.8828,152.4972,109.8218,87.3275,372.4972,0.5841,800698.9363,79309.5521,69512.2036,433484.726,467997.766,189.1754
no_storage,优化-无储能,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828534.5665,0.0,0.0,0.0,0.0,157.5
no_storage,优化-无储能,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5632,840799.9141,0.0,0.0,0.0,0.0,144.0
no_storage,优化-无储能,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5731,821748.9726,0.0,0.0,0.0,0.0,135.0
no_storage,优化-无储能,RegionD,-133039578.0708,0.0,-52.894,30.3196,23.5045,127.106,0.7703,442169.3514,0.0,0.0,0.0,395221.7004,405.0
no_storage,优化-无储能,RegionE,-140473204.7283,0.0,-23.3938,42.1427,34.435,196.6062,0.7963,392125.7192,0.0,0.0,0.0,470691.9054,370.0
no_storage,优化-无储能,RegionF,-146307544.9402,8.8506,31.5979,45.7489,37.8155,251.5979,0.8023,380686.7617,0.0,0.0,31.5979,464354.1628,382.5
cost_min,优化-成本最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828520.1265,100.0,85.56,0.0,0.0,157.5
cost_min,优化-成本最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5633,840786.9181,90.0,77.004,0.0,0.0,144.0
cost_min,优化-成本最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5732,821736.6986,85.0,72.726,0.0,0.0,135.0
cost_min,优化-成本最优,RegionD,-142783279.2,0.0,-180.0,0.0,0.0,0.0,0.7929,398646.2903,43599.0583,38114.2968,0.0,433260.0,405.0
cost_min,优化-成本最优,RegionE,-154169396.8907,0.0,-114.2,2.9169,0.2209,105.8,0.8311,325104.8175,67085.4667,58646.115,0.0,529273.4554,370.0
cost_min,优化-成本最优,RegionF,-162265114.9487,0.0,-119.3242,2.7198,0.2933,100.6758,0.8408,306490.6521,74196.1096,64862.239,0.0,529184.8039,382.5
carbon_min,优化-低碳最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828515.5461,131.7204,112.7,0.0,0.0,157.5
carbon_min,优化-低碳最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5633,840782.524,120.4301,103.04,0.0,0.0,144.0
carbon_min,优化-低碳最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5732,821736.6986,85.0,72.726,0.0,0.0,135.0
carbon_min,优化-低碳最优,RegionD,-142783279.2,0.0,-180.0,0.0,0.0,0.0,0.7929,398642.2221,43631.3965,38142.5669,0.0,433260.0,405.0
carbon_min,优化-低碳最优,RegionE,-154169396.8907,0.0,-114.2,2.9169,0.2209,105.8,0.8311,325112.5823,67023.743,58592.1561,0.0,529273.4554,370.0
carbon_min,优化-低碳最优,RegionF,-162265114.9487,0.0,-119.3242,2.7198,0.2933,100.6758,0.8408,306490.6521,74196.1096,64862.239,0.0,529184.8039,382.5
peak_min,优化-削峰最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828534.5665,0.0,0.0,0.0,0.0,157.5
peak_min,优化-削峰最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5633,840742.6216,396.7624,339.4699,0.0,0.0,144.0
peak_min,优化-削峰最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5732,821701.203,330.8146,283.045,0.0,0.0,135.0
peak_min,优化-削峰最优,RegionD,-142783279.2,0.0,-180.0,0.0,0.0,0.0,0.7929,398647.9101,43586.1823,38103.0406,0.0,433260.0,405.0
peak_min,优化-削峰最优,RegionE,-154169366.0103,0.0,-193.5498,1.6739,0.2204,26.4502,0.8311,325114.1086,67011.6106,58581.55,0.0,529273.4554,370.0
peak_min,优化-削峰最优,RegionF,-162265092.7801,0.0,-194.8309,1.76,0.2923,25.1691,0.8408,306394.6013,74959.6296,65529.7082,0.0,529184.8039,382.5
flat_min,优化-平抑波动,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828520.1265,100.0,85.56,0.0,0.0,157.5
flat_min,优化-平抑波动,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5633,840786.9181,90.0,77.004,0.0,0.0,144.0
flat_min,优化-平抑波动,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5732,821736.6986,85.0,72.726,0.0,0.0,135.0
flat_min,优化-平抑波动,RegionD,-142783279.2,0.0,-180.0,0.0,0.0,0.0,0.7929,398638.5345,43660.7098,38168.1925,0.0,433260.0,405.0
flat_min,优化-平抑波动,RegionE,-135679086.2065,0.0,-193.55,0.0,0.0,0.0,0.7968,391169.602,45891.672,40118.4996,0.0,465874.8503,370.0
flat_min,优化-平抑波动,RegionF,-143765389.5285,0.0,-194.8311,0.0,0.0,0.0,0.8082,369309.4243,53589.5465,46847.9815,0.0,468958.3374,382.5
balanced,优化-综合权衡,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,0.5696,828520.1265,100.0,85.56,0.0,0.0,157.5
balanced,优化-综合权衡,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,0.5633,840786.9181,90.0,77.004,0.0,0.0,144.0
balanced,优化-综合权衡,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,0.5732,821736.6986,85.0,72.726,0.0,0.0,135.0
balanced,优化-综合权衡,RegionD,-142783279.2,0.0,-180.0,0.0,0.0,0.0,0.7929,398613.5422,43859.3766,38341.8671,0.0,433260.0,405.0
balanced,优化-综合权衡,RegionE,-154169280.5153,0.0,-193.55,1.6305,0.2183,26.45,0.8311,325114.1086,67011.6106,58581.55,0.0,529273.4554,370.0
balanced,优化-综合权衡,RegionF,-162265092.0332,0.0,-194.831,1.7511,0.2886,25.169,0.8408,306490.6521,74196.1096,64862.239,0.0,529184.8039,382.5
