TaskID,TaskType,SourceRegion,AssignedRegion,ArrivalHour,StartHour,EndHour,GPU_Demand,Duration,IsMigrated
3809,AITraining,RegionF,RegionF,2376,2376,2378,32,2,0
9415,AITraining,RegionD,RegionD,2376,2376,2378,119,2,0
11961,AITraining,RegionE,RegionE,2376,2376,2381,111,5,0
35335,AITraining,RegionF,RegionF,2376,2376,2380,34,4,0
42169,AITraining,RegionF,RegionF,2376,2376,2382,58,6,0
1540,AITraining,RegionF,RegionF,2377,2377,2382,98,5,0
4202,AITraining,RegionE,RegionE,2377,2377,2382,94,5,0
14780,AITraining,RegionD,RegionD,2377,2377,2382,32,5,0
20392,AITraining,RegionF,RegionF,2377,2377,2383,110,6,0
21384,AITraining,RegionC,RegionC,2377,2377,2381,110,4,0
23479,AITraining,RegionD,RegionD,2377,2377,2380,113,3,0
27509,AITraining,RegionF,RegionF,2377,2377,2384,113,7,0
31710,AITraining,RegionD,RegionD,2377,2377,2379,64,2,0
41348,AITraining,RegionE,RegionE,2377,2377,2383,71,6,0
41413,AITraining,RegionE,RegionE,2377,2377,2382,54,5,0
43690,AITraining,RegionE,RegionE,2377,2377,2381,102,4,0
1055,AITraining,RegionF,RegionF,2378,2378,2384,113,6,0
6507,AITraining,RegionC,RegionC,2378,2378,2384,17,6,0
9591,AITraining,RegionD,RegionD,2378,2378,2382,27,4,0
16146,AITraining,RegionE,RegionE,2378,2378,2379,60,1,0
17864,AITraining,RegionD,RegionD,2378,2378,2380,120,2,0
29425,AITraining,RegionF,RegionF,2378,2378,2382,98,4,0
33418,AITraining,RegionE,RegionE,2378,2378,2382,122,4,0
36260,AITraining,RegionF,RegionF,2378,2378,2382,85,4,0
39262,AITraining,RegionE,RegionE,2378,2378,2379,103,1,0
46688,AITraining,RegionE,RegionE,2378,2378,2379,50,1,0
7973,AITraining,RegionE,RegionE,2379,2379,2381,70,2,0
9845,AITraining,RegionF,RegionF,2379,2379,2380,102,1,0
14419,AITraining,RegionD,RegionD,2379,2379,2386,104,7,0
31539,AITraining,RegionD,RegionD,2379,2379,2381,103,2,0
31788,AITraining,RegionD,RegionD,2379,2379,2385,81,6,0
39010,AITraining,RegionD,RegionD,2379,2379,2380,86,1,0
6052,AITraining,RegionF,RegionF,2380,2380,2385,92,5,0
18713,AITraining,RegionF,RegionF,2380,2380,2382,38,2,0
